SupplierName,Dept,Service,NatAnal,ModuleName,Company,Account,Site,Section,Structure,Intercompany,Nature,Major,Minor,GroupSectionAndDescription,LedgerName,Source,Category,SupplierNumber,SupplierName_Fake,DocumentCurrency,Ledgercurrency,AmoutinEUR,DebitEnteredAmount,CreditEnteredAmount,DebitAccountedAmount,CreditAccountedAmount,DateCreated,POOrderedDate,DueDate
WUQXC OKV INC,MQ,Security,Depreciation,GL,TechnoGlobal Industries,6262701,MXA,14562Z,7956,589,N87_FE_F,MAJ04_Salary_Labor_F,MIN0925,1458 ISIT BSS Entreprises Services (ES),MX_589_PL_MXN,MICH_CAW_GLJRNLINTF,Depreciation,37,Reliable Suppliers Group,CAD,BRL,213279.45,745.52,0,300.19,0,08/27/2024,02/11/2025,02/21/2025
QYENC CFR INC,DIR,EUX,Capitalized production (PRIM),PO,Quantum Dynamics Group,6417100,MXA,14700A,7956,567,N11_MASA_F,MAJ08_Industrial_Supplies_V,MIN0950,1468 ISIT BSS Management,MX_839_PL_USD,,GL_Payroll,23,First Class Manufacturing,EUR,BRL,943426.18,481.84,0,189.3,0,08/02/2024,10/26/2024,06/13/2025
ZPMBJ MBW INC,MQ,NET,Capitalized production (PRIM),AP,Quantum Dynamics Group,6457100,RIO,14480B,7950,796,N10_MASA_V,MAJ04_Salary_Labor_F,MIN0840,1444 ISIT Infra Service Line NET (Network),,Spreadsheet,GL_Supplier_Auto_Reversal,43,Leading Edge Technologies,BRL,MXN,53163.62,31.46,0,444.19,0,10/29/2025,10/30/2025,10/31/2025
ULAYD QQN INC,MQ,Group ES,Depreciation,PA,Meridian Solutions Corp,6439000,CGR,14320G,7950,723,N24_FE_MISC_INCOME_F,MAJ07_Transportation_V,MIN0430,1434 ISIT Method & Quality,MX_839_PL_MXN,Recurring,Write-off,33,Premier Manufacturing Co,EUR,CAD,978911.69,210.12,0,468.17,0,02/28/2025,08/12/2025,08/30/2025
AJVYA BCH INC,IN,Group EUX,Telecom Voice,INV,TechnoGlobal Industries,6468700,MXA,96500N,7956,589,N88_CESSIONS_DORD,MAJ09_Travel_F,MIN0420,9815 Expenses to be reinvoiced or reallocated,MX_589_PL_MXN,Manual,REC,5,Professional Services Corp,GBP,CAD,-860.31,154.74,0,63.83,0,05/18/2024,10/12/2024,05/07/2025
CSDDS TNR INC,MQ,NET,Salaries,PO,Meridian Solutions Corp,6438704,PPC,14320G,7950,407,N87_FE_F,MAJ20_Cascade_DEPRECIATION_F,MIN0936,1434 ISIT Method & Quality,US_415_PL_USD,MICH_EPW_GLJRNLINTF,GL_Intercompany_Reversal,41,Integrated Manufacturing,MXN,USD,753397.92,731.36,0,732.75,0,07/03/2025,10/09/2025,10/18/2025
DILCP RTV INC,DIR,EUX,Telecom Voice,AP,TechnoGlobal Industries,6418208,GRU,14680C,7950,407,N70_DEPRECIATION_F,MAJ20_Allocation_FE_F,MIN0410,1468 ISIT BSS Management,MX_839_PL_USD,Cost Management,GL_Supplier_Auto_Reversal,47,Professional Resources Ltd,BRL,BRL,940573.34,8.19,0,201.22,0,11/18/2024,03/21/2025,04/20/2025
IQTUH IEP INC,DIR,AFFILIATE,Capitalized production (PRIM),AP,Quantum Dynamics Group,6418999,PP1,14660A,7956,0,N93_ENERGY_V,MAJ09_Travel_F,MIN0520,1462 ISIT BSS Production Sytems (PS),MX_589_PL_MXN,Payables,Reclass,23,Quality Components Ltd,EUR,USD,234678.66,810.13,0,421.12,0,10/03/2025,10/30/2025,11/01/2025
UQMZJ VFM INC,IN,NET,Training,PA,Apex Innovations Ltd,6449010,RES,14320F,7950,796,N22_FE_F,MAJ20_Cascade_ENERGY_V,MIN0950,1462 ISIT BSS Production Sytems (PS),MX_839_PL_MXN,Cost Management,Freight,44,Dynamic Industries Inc,MXN,MXN,977349.55,699.5,0,421.79,0,09/25/2024,10/23/2024,11/13/2024
XQSCM QAD INC,IN,SC,Capitalized production (PRIM),AP,Quantum Dynamics Group,6735000,MTC,96501B,7956,589,N97_FE_F,MAJ20_Cascade_DEPRECIATION_F,MIN0930,9828 Other operational expenses & revenue non allocated,CA_407_PL_CAD,CLL F189 INTEGRATED RCV,Labor Cost,27,Certified Distribution Corp,BRL,CAD,339950.65,891.05,0,0.64,0,05/23/2025,09/29/2025,09/29/2025
MXAXR WJA INC,IN,DEV,Depreciation,INV,Quantum Dynamics Group,6180000,CGR,14720A,7950,723,N99_DEPRECIATION_F,MAJ04_Salary_Labor_F,MIN0925,1440 ISIT Infra Data centre & applications platforms (DAP),CA_407_PL_CAD,Spreadsheet,GL_Intercompany_Reversal,35,Dynamic Solutions Group,USD,USD,974200.09,585.32,0,963.79,0,08/21/2025,09/26/2025,10/06/2025
FUVJQ CXB INC,IN,DAP,Other expenses,GL,TechnoGlobal Industries,6468701,PP1,14560B,7956,796,N70_DEPRECIATION_F,MAJ03_Temporary_Other_Labor_V,MIN0521,1440 ISIT Infra Data centre & applications platforms (DAP),BR_414_PL_BRL,CLL F189 INTEGRATED RCV,GL_Allocation_Auto_Revers,6,Elite Distribution Corp,GBP,BRL,731468.84,706.58,0,527.02,0,04/09/2025,09/12/2025,10/03/2025
QXMYB RGJ INC,DIR,MQ,Training,GL,Apex Innovations Ltd,6580000,MXA,14600A,7956,200,N93_ENERGY_V,MAJ10_Advertising_F,MIN0810,9828 Other operational expenses & revenue non allocated,US_415_PL_USD,Assets,Interface,30,Advanced Systems Group,GBP,MXN,339811.12,107.07,0,999.62,0,02/08/2025,02/13/2025,03/03/2025
NJNMJ JDY INC,MQ,QPO,Salaries,PO,Nexus Enterprise Holdings,6459101,LAV,98281C,7956,589,N87_FE_F,MAJ15_Depreciation_F,MIN0845,1456 ISIT Charge back central,MX_589_PL_MXN,Assets,GL_Adjustment,30,Integrated Solutions Ltd,MXN,USD,355988.69,303.3,0,11.44,0,09/06/2025,09/06/2025,09/14/2025
PXDVD SUV INC,BSS,ACC,Taxes,GL,Meridian Solutions Corp,6447707,CGR,14480B,7950,0,N88_CESSIONS_DORD,MAJ15_Depreciation_F,MIN2040,1444 ISIT Infra Service Line NET (Network),MX_839_PL_MXN,Manual,REC,10,Strategic Components LLC,USD,USD,322725.38,745.95,0,549.31,0,08/21/2023,12/10/2024,06/03/2025
RGGGU BQW INC,DIR,D1 DAP,Purchases,GL,TechnoGlobal Industries,6457708,MXA,14360A,7950,415,N11_MASA_F,MAJ20_Cascade_ENERGY_F,MIN0511,1444 ISIT Infra Service Line NET (Network),MX_589_PL_MXN,Cost Management,Reclass,34,Optimal Resources Inc,USD,BRL,115164.3,604.7,0,631.59,0,11/05/2024,09/03/2025,09/05/2025
SSCYP WBG INC,DIR,QPO,Other expenses,PA,Quantum Dynamics Group,9830206,DDD,14660A,7956,409,N94_ENERGY_F,MAJ10_Advertising_F,MIN0955,1470 ISIT BSS IS Region managers (ISRM),MX_589_PL_MXN,,Write-off,47,Elite Distribution Corp,BRL,BRL,382677.81,532.08,0,484.38,0,12/09/2023,07/16/2024,12/18/2024
LXBWB AOB INC,IN,Maestro,Salaries,PO,TechnoGlobal Industries,9103100,MXA,14320H,7956,589,N21_FE_V,MAJ20_Allocation_MASA_F,MIN1110,9650 Other operational expenses & revenues,MX_839_PL_MXN,,Freight,21,Excellence Manufacturing,GBP,CAD,678523.11,763.38,0,781.87,0,08/19/2023,03/19/2024,01/25/2025
JLKMZ GAP INC,BSS,IN DIR,Taxes,GL,TechnoGlobal Industries,6738000,PPC,14360B,7950,415,N22_FE_F,MAJ20_Cascade_ENERGY_F,MIN1510,1448 ISIT Infra Transverse operations (GOM),MX_589_PL_MXN,Assets,Adjustment,25,Professional Services Corp,CAD,USD,595741.86,328.93,0,61.47,0,02/19/2025,09/12/2025,10/08/2025
TSJPV DIF INC,DIR,Group ES,External Resources,INV,Nexus Enterprise Holdings,6437110,RIO,14560B,7956,200,N22_FE_F,MAJ16_FA_Disposal,MIN1010,1452 ISIT Infra Management,MX_839_PL_MXN,Cost Management,Freight,7,Progressive Technologies,USD,CAD,79199.85,741.19,0,728.21,0,06/12/2024,07/16/2025,07/22/2025
LHGNH JEJ INC,IN,D1 DAP,Depreciation,PA,Meridian Solutions Corp,9860900,MTC,14340A,7950,407,N93_ENERGY_V,MAJ10_Advertising_F,MIN0210,1460 ISIT BSS Methods & Sales (MS),MX_839_PL_MXN,Projects,GL_AutoPrepa,47,Professional Services Corp,GBP,CAD,773869.27,820.37,0,494.82,0,09/16/2023,12/04/2023,08/23/2025
MJDYZ ZFD INC,BSS,D1 DAP,Maintenance & Rental,GL,Nexus Enterprise Holdings,6418707,RES,14400A,7950,511,N24_FE_MISC_INCOME_F,MAJ16_FA_Disposal,MIN0521,9815 Expenses to be reinvoiced or reallocated,BR_414_PL_BRL,Projects,Retirement,17,Universal Products LLC,BRL,CAD,980553.38,287.3,0,377.75,0,10/22/2024,02/18/2025,07/29/2025
WBPKJ ITB INC,MQ,GOSM,Internal,GL,Apex Innovations Ltd,6877100,MTC,14480B,7950,0,N94_ENERGY_F,MAJ10_Advertising_F,MIN0510,9815 Expenses to be reinvoiced or reallocated,CA_407_PL_CAD,,GL_Accrual_Auto_Reversal,37,Innovation Systems Ltd,BRL,CAD,168406.56,152.21,0,475.14,0,07/09/2025,09/16/2025,10/15/2025
TAHQZ TNB INC,MQ,MF,Purchases,INV,Nexus Enterprise Holdings,6447703,MXA,14562Z,7950,409,N87_FE_F,MAJ03_Temporary_Other_Labor_V,MIN1110,1456 ISIT Charge back central,MX_839_PL_MXN,Payables,Receiving,6,Progressive Technologies,GBP,BRL,471398.83,267.56,0,875.75,0,09/13/2025,09/23/2025,10/24/2025
MHHZC NYT INC,DIR,ES,Travels,GL,Quantum Dynamics Group,6417707,MTC,96501B,7950,200,N24_FE_MISC_INCOME_F,MAJ20_Cascade_ENERGY_F,MIN1510,1432 ISIT Region Direction,MX_839_PL_MXN,Spreadsheet,GL_Intercompany,44,Premier Manufacturing Co,MXN,MXN,904571.79,202.27,0,896.41,0,07/09/2023,12/08/2024,08/21/2025
CEAQC FBV INC,DIR,DAP,Internal,PA,Nexus Enterprise Holdings,6447715,CGR,14660A,7956,407,N88_CESSIONS_DORD,MAJ04_Salary_Labor_F,MIN0936,1444 ISIT Infra Service Line NET (Network),,Payables,GL_Adjustment,3,Mega Solutions LLC,MXN,USD,752089.34,95.78,0,246.05,0,11/26/2024,03/11/2025,06/15/2025
WCVPC ULK INC,MQ,D1 DAP,Maintenance & Rental,INV,Nexus Enterprise Holdings,6437000,GRU,14360A,7950,567,N30_ENERGY_V,MAJ16_FA_Disposal,MIN0930,1470 ISIT BSS IS Region managers (ISRM),US_415_PL_USD,MICH_CAW_GLJRNLINTF,Sales Invoices,16,Global Tech Solutions,BRL,BRL,404030.7,324.61,0,335.05,0,07/03/2023,09/21/2023,03/11/2025
WZHNM LWX INC,DIR,NET,Other expenses,INV,Apex Innovations Ltd,6137000,GRU,96501C,7950,409,N94_ENERGY_F,MAJ09_Travel_F,MIN0925,1470 ISIT BSS IS Region managers (ISRM),,MICH_EPW_GLJRNLINTF,GL_Allocation,34,Global Resources Ltd,GBP,USD,305645.17,68.22,0,750.16,0,01/20/2025,07/17/2025,10/11/2025
WCHIK HWO INC,MQ,D1 DAP,Other expenses,PO,Quantum Dynamics Group,6117000,PPC,14600A,7956,511,N24_FE_MISC_INCOME_F,MAJ20_Cascade_DEPRECIATION_F,MIN0910,1456 ISIT Charge back central,BR_414_PL_BRL,MassAllocation,Usage Cost,26,Advanced Materials Group,BRL,CAD,18629.23,795.54,0,117.72,0,12/16/2023,07/15/2024,08/13/2024
ZZHGR PIO INC,DIR,QPO,Depreciation,PO,Nexus Enterprise Holdings,7200000,RIO,14320H,7950,723,N87_FE_F,MAJ20_Cascade_ENERGY_F,MIN2071,1466 ISIT BSS Supply Chain (SC),BR_414_PL_BRL,Manual,Inventory,17,Universal Products LLC,CAD,CAD,614324.33,794.06,0,940.45,0,09/02/2023,05/13/2025,08/24/2025
UUYWS OTJ INC,BSS,DAP,Training,INV,Quantum Dynamics Group,6150000,LAV,14480A,7950,511,N97_FE_F,MAJ20_Cascade_ENERGY_V,MIN0956,1460 ISIT BSS Methods & Sales (MS),MX_589_PL_MXN,CLL F189 INTEGRATED RCV,REC,2,Excellence Products Co,CAD,CAD,716993.62,418.59,0,107.92,0,03/08/2025,10/30/2025,10/31/2025
DJFIR DBC INC,BSS,EC,Telecom Voice,PA,Meridian Solutions Corp,6116000,MAN,14560B,7956,511,N93_ENERGY_V,MAJ21_Allocation_DORD,MIN0610,1470 ISIT BSS IS Region managers (ISRM),BR_414_PL_BRL,,Retirement,39,Leading Edge Technologies,USD,BRL,572739.45,422.45,0,746.27,0,03/22/2024,04/30/2024,06/20/2025
QWTGX JBU INC,BSS,SC,Taxes,PA,Nexus Enterprise Holdings,6468702,CGR,14360A,7950,567,N88_CESSIONS_DORD,MAJ20_Allocation_FE_F,MIN0945,1462 ISIT BSS Production Sytems (PS),,Receivables,GL_Supplier_Auto_Reversal,34,First Class Manufacturing,USD,USD,489116.1,170.23,0,634.54,0,06/12/2023,01/04/2025,10/30/2025
YVYWJ HJM INC,DIR,DEV,Telecom Data,PO,Meridian Solutions Corp,6116000,RES,96501B,7956,796,N70_DEPRECIATION_F,MAJ05_Maintenance_F,MIN2040,9828 Other operational expenses & revenue non allocated,CA_407_PL_CAD,Recurring,Labor Cost,11,Modern Solutions LLC,USD,CAD,334702.19,484.67,0,835.54,0,04/23/2024,09/07/2025,10/05/2025
FUVJQ CXB INC,MQ,GOSM,Taxes,PA,Apex Innovations Ltd,6470100,RIO,14620A,7956,796,N21_FE_V,MAJ20_Allocation_FE_F,MIN0950,1466 ISIT BSS Supply Chain (SC),MX_839_PL_USD,Manual,GL_Supplier_Auto_Reversal,1,Precision Services Co,MXN,USD,806038.54,413.06,0,510.76,0,09/22/2024,06/20/2025,10/26/2025
BHXWC FQH INC,IN,MASS ALLOC,Invoices sent,PO,Meridian Solutions Corp,6211010,LAV,14700A,7950,723,N10_MASA_V,MAJ20_Allocation_MASA_F,MIN0415,1464 ISIT BSS Research & development (RD),BR_414_PL_BRL,,Sales Invoices,46,Quality First Industries,MXN,CAD,594350.51,845.21,0,368.18,0,04/29/2024,07/31/2024,10/02/2024
RFSBW VBE INC,MQ,EUX,Telecom Voice,PA,TechnoGlobal Industries,6438010,MTC,14562Z,7956,407,N10_MASA_V,MAJ08_Industrial_Supplies_V,MIN0918,1464 ISIT BSS Research & development (RD),,Assets,Purchase Invoices,22,Excellence Products Co,EUR,CAD,49075.38,37.82,0,372.31,0,01/16/2025,02/10/2025,05/07/2025
ISTZM SVV INC,BSS,Group EUX,Internal,INV,Meridian Solutions Corp,6071000,RES,98158Z,7956,796,N23_FE_TRAVEL_F,MAJ05_Maintenance_F,MIN2071,1466 ISIT BSS Supply Chain (SC),,MassAllocation,Debit Memos,32,Mega Solutions LLC,GBP,CAD,95433.16,688.9,0,525.34,0,08/06/2025,09/03/2025,10/22/2025
QAWZE BZU INC,IN,NET,Maintenance & Rental,GL,Apex Innovations Ltd,9820900,DDD,14661C,7950,200,N10_MASA_V,MAJ20_Cascade_DEPRECIATION_F,MIN0521,1468 ISIT BSS Management,MX_839_PL_USD,Cost Management,Receiving,10,Excellence Manufacturing,EUR,BRL,425613.02,735.35,0,649.58,0,06/26/2025,09/03/2025,10/04/2025
ISTZM SVV INC,MQ,DEV,Taxes,AP,Apex Innovations Ltd,6437100,GRU,14480A,7956,723,N21_FE_V,MAJ20_Cascade_ENERGY_F,MIN0415,1472 Allocation unpaid intra group invoices by companies from South America,MX_589_PL_MXN,Receivables,GL_Supplier,19,Progressive Technologies,USD,USD,160694.67,246.4,0,601.1,0,09/05/2024,06/18/2025,07/26/2025
JLKMZ GAP INC,IN,Group EC,Telecom Data,PA,TechnoGlobal Industries,6457708,LAV,14320F,7950,511,N23_FE_TRAVEL_F,MAJ20_Cascade_MASA_F,MIN2063,1456 ISIT Charge back central,CA_407_PL_CAD,Receivables,GL_Accrual_Auto_Reversal,44,Elite Engineering Services,USD,CAD,83321.78,367.06,0,385.76,0,02/08/2024,01/25/2025,09/07/2025
CBZHS FUA INC,DIR,GOSM,Travels,AP,Meridian Solutions Corp,6469201,PPC,14400A,7950,723,N24_FE_MISC_INCOME_F,MAJ05_Maintenance_F,MIN0945,1456 ISIT Charge back central,MX_589_PL_MXN,Manual,GL_Supplier,46,Integrated Manufacturing,CAD,USD,678912.43,861.24,0,400.87,0,07/21/2025,10/15/2025,10/27/2025
OHZQV KUS INC,IN,EC,Taxes,PO,TechnoGlobal Industries,6261000,RES,14480A,7956,0,N97_FE_F,MAJ20_Cascade_FE_F,MIN2005,1456 ISIT Charge back central,MX_839_PL_USD,MICH_EPW_GLJRNLINTF,GL_Financial_AutoReversal,41,Quality First Industries,BRL,BRL,386937.3,21.33,0,953.71,0,07/02/2024,10/11/2025,10/11/2025
ISWUE KJZ INC,BSS,SC,Invoices sent,PO,Meridian Solutions Corp,6418712,LAV,14400A,7956,589,N23_FE_TRAVEL_F,MAJ05_Maintenance_F,MIN1510,1458 ISIT BSS Entreprises Services (ES),MX_839_PL_MXN,Receivables,Usage Cost,35,Essential Materials Ltd,EUR,USD,463033.11,633.38,0,771.86,0,08/12/2023,08/03/2024,12/02/2024
QZUFG VDI INC,IN,GOSM,Salaries,GL,TechnoGlobal Industries,6418701,LAV,14400C,7956,409,N91_MASA_F,MAJ09_General_Overhead_V,MIN0320,1464 ISIT BSS Research & development (RD),CA_407_PL_CAD,Spreadsheet,GL_Legal_Adjustments,38,Elite Distribution Corp,EUR,MXN,704000.25,733.13,0,566.58,0,08/20/2023,10/10/2024,10/27/2024
LVNUM DJZ INC,DIR,ES,Training,PO,Nexus Enterprise Holdings,6458702,LAV,14680B,7950,511,N94_ENERGY_F,MAJ09_Travel_F,MIN0511,1432 ISIT Region Direction,MX_839_PL_MXN,Projects,Inventory,18,Certified Components Inc,GBP,BRL,358467.45,726.06,0,873.93,0,08/06/2023,08/17/2023,06/20/2024
SAQTJ TSI INC,MQ,Security,Invoices sent,AP,TechnoGlobal Industries,6457200,GRU,14360A,7950,796,N70_DEPRECIATION_F,MAJ16_FA_Disposal,MIN0970,9650 Other operational expenses & revenues,MX_589_PL_MXN,MICH_CAW_GLJRNLINTF,CIP Adjustment,44,Reliable Suppliers Group,EUR,CAD,352340.65,381.32,0,270.72,0,10/23/2024,07/21/2025,09/27/2025
KOIOV PQY INC,BSS,Group EUX,Internal,AP,Quantum Dynamics Group,6153000,MTC,96501B,7950,407,N91_MASA_F,MAJ20_Cascade_MASA_F,MIN0923,1470 ISIT BSS IS Region managers (ISRM),CA_407_PL_CAD,Recurring,Sales Invoices,9,Excellence Manufacturing,USD,BRL,103796.01,838.89,0,916.49,0,06/01/2023,05/10/2024,07/13/2025
TKGZK KDB INC,BSS,EC,Capitalized production (PRIM),PA,Quantum Dynamics Group,6458201,MAN,14660A,7956,415,N88_CESSIONS_DORD,MAJ11_Income,MIN0810,1436 ISIT Infra Service Line EUX (End User Experience),MX_589_PL_MXN,,Reclass,50,Progressive Manufacturing,MXN,MXN,778066.77,256.08,0,217.26,0,11/05/2024,07/14/2025,07/31/2025
GSXZW TPB INC,DIR,AFFILIATE,Travels,GL,Meridian Solutions Corp,6250300,MXA,14360A,7956,589,N30_ENERGY_V,MAJ15_Depreciation_F,MIN1120,1472 Allocation unpaid intra group invoices by companies from South America,MX_589_PL_MXN,Receivables,GL_Intercompany,39,Global Resources Ltd,GBP,MXN,969291.84,553.16,0,347.32,0,06/02/2024,05/11/2025,06/30/2025
JZJRC UHQ INC,BSS,AFFILIATE,Other expenses,INV,Meridian Solutions Corp,6439000,MXA,14580B,7956,200,N91_MASA_F,MAJ05_Maintenance_F,MIN2072,1452 ISIT Infra Management,US_415_PL_USD,Receivables,GL_Allocation_Auto_Revers,14,Certified Components Inc,USD,MXN,279015.22,618.8,0,824.29,0,02/18/2024,02/14/2025,05/06/2025
VWKWB ZAI INC,IN,SC,Telecom Voice,INV,Quantum Dynamics Group,6262701,RIO,14340A,7950,0,N97_FE_F,MAJ21_Allocation_DORD,MIN0965,1460 ISIT BSS Methods & Sales (MS),MX_839_PL_USD,Manual,Sales Invoices,12,Progressive Manufacturing,BRL,BRL,916392.06,779.06,0,954.54,0,03/07/2023,04/15/2023,11/29/2024
LHIHZ BSA INC,MQ,DEV,Training,GL,Meridian Solutions Corp,6417709,DDD,14320G,7950,796,N24_FE_MISC_INCOME_F,MAJ09_General_Overhead_V,MIN0610,1448 ISIT Infra Transverse operations (GOM),,Receivables,Freight,23,Premier Logistics Co,MXN,MXN,382307.21,316.47,0,694.87,0,04/17/2024,06/16/2024,09/17/2025
WMOTK MTJ INC,MQ,OPEN,Taxes,PA,Meridian Solutions Corp,6468702,PP1,14640A,7956,567,N87_FE_F,MAJ10_Advertising_F,MIN0923,1470 ISIT BSS IS Region managers (ISRM),,CLL F189 INTEGRATED RCV,GL_Payroll_Auto_Reversal,15,Excellence Manufacturing,MXN,CAD,637565.71,390.52,0,608.46,0,11/03/2024,03/11/2025,07/15/2025
SVBSF AZV INC,BSS,MASS ALLOC,External Resources,PO,TechnoGlobal Industries,6150000,PP1,14660A,7950,511,N93_ENERGY_V,MAJ10_Advertising_F,MIN1120,1452 ISIT Infra Management,,Projects,Usage Cost,3,Leading Products Corp,CAD,CAD,642922.03,600.28,0,221.01,0,01/11/2024,08/16/2024,03/23/2025
ITRYZ AWC INC,IN,DEV,Depreciation,PO,Nexus Enterprise Holdings,6468701,RES,14320F,7956,415,N81_MASA_F,MAJ20_Cascade_MASA_F,MIN0910,9828 Other operational expenses & revenue non allocated,CA_407_PL_CAD,Assets,Receiving,6,Strategic Industries Inc,MXN,BRL,521269.91,198.66,0,330.81,0,05/22/2023,06/02/2025,08/18/2025
PZXNY WGY INC,DIR,AFFILIATE,Capitalized production (PRIM),INV,Meridian Solutions Corp,9860900,PPC,14600A,7950,511,N24_FE_MISC_INCOME_F,MAJ20_Allocation_MASA_F,MIN0845,1460 ISIT BSS Methods & Sales (MS),,MICH_EPW_GLJRNLINTF,Inventory,30,Standard Products Company,EUR,MXN,152859.34,830.09,0,777.73,0,10/15/2024,02/26/2025,06/11/2025
JLKMZ GAP INC,DIR,D1 DAP,Training,GL,Apex Innovations Ltd,6310707,RIO,14720A,7950,407,N21_FE_V,MAJ05_Maintenance_F,MIN1110,9650 Other operational expenses & revenues,MX_589_PL_MXN,Projects,Addition,3,Progressive Manufacturing,CAD,CAD,833795.4,958.38,0,373.94,0,05/23/2025,06/24/2025,10/18/2025
IVYMQ KNH INC,IN,IN DIR,Capitalized production (PRIM),INV,Meridian Solutions Corp,6448105,LAV,14320G,7950,0,N11_MASA_F,MAJ21_Allocation_DORD,MIN0965,1444 ISIT Infra Service Line NET (Network),MX_589_PL_MXN,MassAllocation,GL_Equity,23,Strategic Components LLC,MXN,BRL,391741.02,444.11,0,687.44,0,10/07/2023,05/25/2024,04/12/2025
RGFEQ EIJ INC,DIR,GOSM,Depreciation,PA,TechnoGlobal Industries,6417202,PPC,14360B,7950,511,N99_DEPRECIATION_F,MAJ15_Depreciation_F,MIN1630,1462 ISIT BSS Production Sytems (PS),US_415_PL_USD,Payables,GL_Intercompany,4,Progressive Manufacturing,BRL,MXN,517710.77,537.24,0,370.31,0,08/24/2025,10/22/2025,10/24/2025
