Date,Division,Department,Category,Budget_Amount,Actual_Amount,Currency,Project_Code,Responsible_Manager,Quarter
2024-11-15,Marketing,Digital Marketing,Advertising,150000,162000,EUR,PROJ030,Sophie Leroy,Q4 2024
2024-11-15,Marketing,Brand Marketing,Events,60000,58000,EUR,PROJ031,Antoine Bernard,Q4 2024
2024-11-15,IT,Cybersecurity,Software,90000,87000,EUR,PROJ032,Thomas Moreau,Q4 2024
2024-11-15,IT,Infrastructure,Hardware,120000,118000,EUR,PROJ033,Julie Petit,Q4 2024
2024-11-15,HR,Recruitment,Services,50000,52000,EUR,PROJ034,Michel Laurent,Q4 2024
2024-11-15,HR,Training,Training,35000,34000,EUR,PROJ035,Camille Simon,Q4 2024
2024-11-15,Finance,Accounting,Software,25000,25500,EUR,PROJ036,David Roux,Q4 2024
2024-12-15,Sales,Field Sales,Personnel,92000,96000,EUR,PROJ028,Marie Martin,Q4 2024
2024-12-15,Sales,Field Sales,Travel,20000,22000,EUR,PROJ028,Marie Martin,Q4 2024
2024-12-15,Sales,Digital Sales,Software,32000,30000,EUR,PROJ029,Pierre Dubois,Q4 2024
2024-12-15,Marketing,Digital Marketing,Advertising,150000,158000,EUR,PROJ030,Sophie Leroy,Q4 2024
2024-12-15,Marketing,Brand Marketing,Events,60000,64000,EUR,PROJ031,Antoine Bernard,Q4 2024
2024-12-15,IT,Cybersecurity,Software,90000,91500,EUR,PROJ032,Thomas Moreau,Q4 2024
2024-12-15,IT,Infrastructure,Hardware,120000,122000,EUR,PROJ033,Julie Petit,Q4 2024
2024-12-15,HR,Recruitment,Services,50000,49000,EUR,PROJ034,Michel Laurent,Q4 2024
2024-12-15,HR,Training,Training,35000,36500,EUR,PROJ035,Camille Simon,Q4 2024
2024-12-15,Finance,Accounting,Software,25000,24800,EUR,PROJ036,David Roux,Q4 2024
2024-01-15,Operations,Logistics,Transportation,65000,68000,EUR,PROJ037,Isabelle Garnier,Q1 2024
2024-01-15,Operations,Logistics,Warehouse,45000,43500,EUR,PROJ037,Isabelle Garnier,Q1 2024
2024-01-15,Operations,Quality,Equipment,35000,36500,EUR,PROJ038,François Blanc,Q1 2024
2024-01-15,R&D,Innovation,Research,80000,82000,EUR,PROJ039,Caroline Dupont,Q1 2024
2024-01-15,R&D,Innovation,Equipment,120000,115000,EUR,PROJ039,Caroline Dupont,Q1 2024
2024-01-15,Legal,Compliance,Services,25000,26500,EUR,PROJ040,Nicolas Rousseau,Q1 2024
2024-01-15,Legal,Contracts,Services,30000,28000,EUR,PROJ041,Nicolas Rousseau,Q1 2024
2024-02-15,Operations,Logistics,Transportation,65000,67500,EUR,PROJ037,Isabelle Garnier,Q1 2024
2024-02-15,Operations,Logistics,Warehouse,45000,46000,EUR,PROJ037,Isabelle Garnier,Q1 2024
2024-02-15,Operations,Quality,Equipment,35000,34000,EUR,PROJ038,François Blanc,Q1 2024
2024-02-15,R&D,Innovation,Research,80000,78000,EUR,PROJ039,Caroline Dupont,Q1 2024
2024-02-15,R&D,Innovation,Equipment,120000,125000,EUR,PROJ039,Caroline Dupont,Q1 2024
2024-02-15,Legal,Compliance,Services,25000,24500,EUR,PROJ040,Nicolas Rousseau,Q1 2024
2024-02-15,Legal,Contracts,Services,30000,31000,EUR,PROJ041,Nicolas Rousseau,Q1 2024
2024-03-15,Operations,Logistics,Transportation,65000,63000,EUR,PROJ037,Isabelle Garnier,Q1 2024
2024-03-15,Operations,Logistics,Warehouse,45000,47500,EUR,PROJ037,Isabelle Garnier,Q1 2024
2024-03-15,Operations,Quality,Equipment,35000,35500,EUR,PROJ038,François Blanc,Q1 2024
2024-03-15,R&D,Innovation,Research,80000,81000,EUR,PROJ039,Caroline Dupont,Q1 2024
2024-03-15,R&D,Innovation,Equipment,120000,118000,EUR,PROJ039,Caroline Dupont,Q1 2024
2024-03-15,Legal,Compliance,Services,25000,25500,EUR,PROJ040,Nicolas Rousseau,Q1 2024
2024-03-15,Legal,Contracts,Services,30000,29500,EUR,PROJ041,Nicolas Rousseau,Q1 2024
2024-04-15,Operations,Logistics,Transportation,70000,72000,EUR,PROJ042,Isabelle Garnier,Q2 2024
2024-04-15,Operations,Logistics,Warehouse,48000,46500,EUR,PROJ042,Isabelle Garnier,Q2 2024
2024-04-15,Operations,Quality,Equipment,38000,39000,EUR,PROJ043,François Blanc,Q2 2024
2024-04-15,R&D,Innovation,Research,85000,87000,EUR,PROJ044,Caroline Dupont,Q2 2024
2024-04-15,R&D,Innovation,Equipment,130000,128000,EUR,PROJ044,Caroline Dupont,Q2 2024
2024-04-15,Legal,Compliance,Services,28000,29000,EUR,PROJ045,Nicolas Rousseau,Q2 2024
2024-04-15,Legal,Contracts,Services,32000,31500,EUR,PROJ046,Nicolas Rousseau,Q2 2024
2024-05-15,Operations,Logistics,Transportation,70000,71500,EUR,PROJ042,Isabelle Garnier,Q2 2024
2024-05-15,Operations,Logistics,Warehouse,48000,49000,EUR,PROJ042,Isabelle Garnier,Q2 2024
2024-05-15,Operations,Quality,Equipment,38000,37000,EUR,PROJ043,François Blanc,Q2 2024
2024-05-15,R&D,Innovation,Research,85000,83000,EUR,PROJ044,Caroline Dupont,Q2 2024
2024-05-15,R&D,Innovation,Equipment,130000,135000,EUR,PROJ044,Caroline Dupont,Q2 2024
2024-05-15,Legal,Compliance,Services,28000,27500,EUR,PROJ045,Nicolas Rousseau,Q2 2024
2024-05-15,Legal,Contracts,Services,32000,33000,EUR,PROJ046,Nicolas Rousseau,Q2 2024
2024-06-15,Operations,Logistics,Transportation,70000,68000,EUR,PROJ042,Isabelle Garnier,Q2 2024
2024-06-15,Operations,Logistics,Warehouse,48000,50000,EUR,PROJ042,Isabelle Garnier,Q2 2024
2024-06-15,Operations,Quality,Equipment,38000,38500,EUR,PROJ043,François Blanc,Q2 2024
2024-06-15,R&D,Innovation,Research,85000,86000,EUR,PROJ044,Caroline Dupont,Q2 2024
2024-06-15,R&D,Innovation,Equipment,130000,127000,EUR,PROJ044,Caroline Dupont,Q2 2024
2024-06-15,Legal,Compliance,Services,28000,28500,EUR,PROJ045,Nicolas Rousseau,Q2 2024
2024-06-15,Legal,Contracts,Services,32000,30500,EUR,PROJ046,Nicolas Rousseau,Q2 2024
2024-07-15,Operations,Logistics,Transportation,75000,77000,EUR,PROJ047,Isabelle Garnier,Q3 2024
2024-07-15,Operations,Logistics,Warehouse,52000,51000,EUR,PROJ047,Isabelle Garnier,Q3 2024
2024-07-15,Operations,Quality,Equipment,42000,43500,EUR,PROJ048,François Blanc,Q3 2024
2024-07-15,R&D,Innovation,Research,90000,92000,EUR,PROJ049,Caroline Dupont,Q3 2024
2024-07-15,R&D,Innovation,Equipment,140000,138000,EUR,PROJ049,Caroline Dupont,Q3 2024
2024-07-15,Legal,Compliance,Services,30000,31000,EUR,PROJ050,Nicolas Rousseau,Q3 2024
2024-07-15,Legal,Contracts,Services,35000,34500,EUR,PROJ051,Nicolas Rousseau,Q3 2024
2024-08-15,Operations,Logistics,Transportation,75000,76500,EUR,PROJ047,Isabelle Garnier,Q3 2024
2024-08-15,Operations,Logistics,Warehouse,52000,53000,EUR,PROJ047,Isabelle Garnier,Q3 2024
2024-08-15,Operations,Quality,Equipment,42000,41000,EUR,PROJ048,François Blanc,Q3 2024
2024-08-15,R&D,Innovation,Research,90000,88000,EUR,PROJ049,Caroline Dupont,Q3 2024
2024-08-15,R&D,Innovation,Equipment,140000,145000,EUR,PROJ049,Caroline Dupont,Q3 2024
2024-08-15,Legal,Compliance,Services,30000,29500,EUR,PROJ050,Nicolas Rousseau,Q3 2024
2024-08-15,Legal,Contracts,Services,35000,36000,EUR,PROJ051,Nicolas Rousseau,Q3 2024
2024-09-15,Operations,Logistics,Transportation,75000,73000,EUR,PROJ047,Isabelle Garnier,Q3 2024
2024-09-15,Operations,Logistics,Warehouse,52000,54000,EUR,PROJ047,Isabelle Garnier,Q3 2024
2024-09-15,Operations,Quality,Equipment,42000,42500,EUR,PROJ048,François Blanc,Q3 2024
2024-09-15,R&D,Innovation,Research,90000,91000,EUR,PROJ049,Caroline Dupont,Q3 2024
2024-09-15,R&D,Innovation,Equipment,140000,137000,EUR,PROJ049,Caroline Dupont,Q3 2024
2024-09-15,Legal,Compliance,Services,30000,30500,EUR,PROJ050,Nicolas Rousseau,Q3 2024
2024-09-15,Legal,Contracts,Services,35000,33500,EUR,PROJ051,Nicolas Rousseau,Q3 2024
2024-10-15,Operations,Logistics,Transportation,80000,82000,EUR,PROJ052,Isabelle Garnier,Q4 2024
2024-10-15,Operations,Logistics,Warehouse,55000,54000,EUR,PROJ052,Isabelle Garnier,Q4 2024
2024-10-15,Operations,Quality,Equipment,45000,46500,EUR,PROJ053,François Blanc,Q4 2024
2024-10-15,R&D,Innovation,Research,95000,97000,EUR,PROJ054,Caroline Dupont,Q4 2024
2024-10-15,R&D,Innovation,Equipment,150000,148000,EUR,PROJ054,Caroline Dupont,Q4 2024
2024-10-15,Legal,Compliance,Services,32000,33000,EUR,PROJ055,Nicolas Rousseau,Q4 2024
2024-10-15,Legal,Contracts,Services,38000,37500,EUR,PROJ056,Nicolas Rousseau,Q4 2024
2024-11-15,Operations,Logistics,Transportation,80000,81500,EUR,PROJ052,Isabelle Garnier,Q4 2024
2024-11-15,Operations,Logistics,Warehouse,55000,56000,EUR,PROJ052,Isabelle Garnier,Q4 2024
2024-11-15,Operations,Quality,Equipment,45000,44000,EUR,PROJ053,François Blanc,Q4 2024
2024-11-15,R&D,Innovation,Research,95000,93000,EUR,PROJ054,Caroline Dupont,Q4 2024
2024-11-15,R&D,Innovation,Equipment,150000,155000,EUR,PROJ054,Caroline Dupont,Q4 2024
2024-11-15,Legal,Compliance,Services,32000,31500,EUR,PROJ055,Nicolas Rousseau,Q4 2024
2024-11-15,Legal,Contracts,Services,38000,39000,EUR,PROJ056,Nicolas Rousseau,Q4 2024
2024-12-15,Operations,Logistics,Transportation,80000,78000,EUR,PROJ052,Isabelle Garnier,Q4 2024
2024-12-15,Operations,Logistics,Warehouse,55000,57000,EUR,PROJ052,Isabelle Garnier,Q4 2024
2024-12-15,Operations,Quality,Equipment,45000,45500,EUR,PROJ053,François Blanc,Q4 2024
2024-12-15,R&D,Innovation,Research,95000,96000,EUR,PROJ054,Caroline Dupont,Q4 2024
2024-12-15,R&D,Innovation,Equipment,150000,147000,EUR,PROJ054,Caroline Dupont,Q4 2024
2024-12-15,Legal,Compliance,Services,32000,32500,EUR,PROJ055,Nicolas Rousseau,Q4 2024
2024-12-15,Legal,Contracts,Services,38000,36500,EUR,PROJ056,Nicolas Rousseau,Q4 2024
