Transaction_ID,Date_Key,Customer_ID,Employee_ID,Product_ID,Project_ID,Sales_Amount,Quantity,Unit_Price,Discount_Percent,Revenue_Amount,Cost_Amount,Profit_Amount,Sales_Channel,Region,Currency
TXN020,20240319,CUST020,EMP002,PROD005,PROJ011,96000,9,10667,4,92160,67200,24960,Online,Europe,EUR
TXN021,20240322,CUST021,EMP014,PROD001,PROJ010,85000,6,14167,0,85000,59500,25500,Partner,Asia Pacific,EUR
TXN022,20240326,CUST022,EMP015,PROD011,PROJ002,108000,12,9000,10,97200,75600,21600,Direct Sales,North America,EUR
TXN023,20240329,CUST023,EMP001,PROD006,PROJ019,91000,7,13000,0,91000,63700,27300,Direct Sales,North America,EUR
TXN024,20240402,CUST024,EMP002,PROD012,PROJ012,142000,16,8875,0,142000,99400,42600,Online,Europe,EUR
TXN025,20240405,CUST025,EMP014,PROD003,PROJ010,87000,8,10875,5,82650,60900,21750,Partner,Asia Pacific,EUR
TXN026,20240409,CUST026,EMP015,PROD007,PROJ011,125000,13,9615,0,125000,87500,37500,Direct Sales,North America,EUR
TXN027,20240412,CUST027,EMP001,PROD004,PROJ028,118000,11,10727,7,109740,82600,27140,Direct Sales,North America,EUR
TXN028,20240416,CUST028,EMP002,PROD013,PROJ012,76000,6,12667,0,76000,53200,22800,Online,Europe,EUR
TXN029,20240419,CUST029,EMP014,PROD008,PROJ010,134000,15,8933,0,134000,93800,40200,Partner,Asia Pacific,EUR
TXN030,20240423,CUST030,EMP015,PROD001,PROJ011,94000,7,13429,8,86480,65800,20680,Direct Sales,North America,EUR
TXN031,20240426,CUST031,EMP001,PROD014,PROJ028,156000,18,8667,0,156000,109200,46800,Direct Sales,North America,EUR
TXN032,20240430,CUST032,EMP002,PROD009,PROJ012,99000,10,9900,6,93060,69300,23760,Online,Europe,EUR
TXN033,20240503,CUST033,EMP014,PROD015,PROJ010,112000,12,9333,0,112000,78400,33600,Partner,Asia Pacific,EUR
TXN034,20240507,CUST034,EMP015,PROD002,PROJ011,81000,5,16200,5,76950,56700,20250,Direct Sales,North America,EUR
TXN035,20240510,CUST035,EMP001,PROD010,PROJ028,139000,16,8688,0,139000,97300,41700,Direct Sales,North America,EUR
TXN036,20240514,CUST036,EMP002,PROD016,PROJ012,88000,8,11000,4,84480,61600,22880,Online,Europe,EUR
TXN037,20240517,CUST037,EMP014,PROD005,PROJ010,127000,14,9071,0,127000,88900,38100,Partner,Asia Pacific,EUR
TXN038,20240521,CUST038,EMP015,PROD011,PROJ011,75000,8,9375,12,66000,52500,13500,Direct Sales,North America,EUR
TXN039,20240524,CUST039,EMP001,PROD017,PROJ028,148000,17,8706,0,148000,103600,44400,Direct Sales,North America,EUR
TXN040,20240528,CUST040,EMP002,PROD003,PROJ012,92000,9,10222,7,85560,64400,21160,Online,Europe,EUR
TXN041,20240531,CUST041,EMP014,PROD012,PROJ010,105000,11,9545,0,105000,73500,31500,Partner,Asia Pacific,EUR
TXN042,20240604,CUST042,EMP015,PROD018,PROJ011,83000,7,11857,0,83000,58100,24900,Direct Sales,North America,EUR
TXN043,20240607,CUST043,EMP001,PROD007,PROJ028,121000,12,10083,0,121000,84700,36300,Direct Sales,North America,EUR
TXN044,20240611,CUST044,EMP002,PROD019,PROJ012,97000,9,10778,5,92150,67900,24250,Online,Europe,EUR
TXN045,20240614,CUST045,EMP014,PROD004,PROJ010,115000,13,8846,0,115000,80500,34500,Partner,Asia Pacific,EUR
TXN046,20240618,CUST046,EMP015,PROD020,PROJ011,89000,8,11125,8,81880,62300,19580,Direct Sales,North America,EUR
TXN047,20240621,CUST047,EMP001,PROD013,PROJ028,134000,15,8933,0,134000,93800,40200,Direct Sales,North America,EUR
TXN048,20240625,CUST048,EMP002,PROD015,PROJ012,78000,7,11143,6,73320,54600,18720,Online,Europe,EUR
TXN049,20240628,CUST049,EMP014,PROD009,PROJ010,108000,10,10800,0,108000,75600,32400,Partner,Asia Pacific,EUR
TXN050,20240702,CUST050,EMP015,PROD021,PROJ011,95000,9,10556,10,85500,66500,19000,Direct Sales,North America,EUR
TXN051,20240705,CUST001,EMP001,PROD001,PROJ019,152000,16,9500,0,152000,106400,45600,Direct Sales,North America,EUR
TXN052,20240709,CUST002,EMP002,PROD016,PROJ021,91000,8,11375,4,87360,63700,23660,Online,Europe,EUR
TXN053,20240712,CUST003,EMP014,PROD022,PROJ019,119000,12,9917,0,119000,83300,35700,Partner,Asia Pacific,EUR
TXN054,20240716,CUST004,EMP015,PROD008,PROJ020,86000,8,10750,7,79980,60200,19780,Direct Sales,North America,EUR
TXN055,20240719,CUST005,EMP001,PROD023,PROJ019,165000,18,9167,0,165000,115500,49500,Direct Sales,North America,EUR
TXN056,20240723,CUST006,EMP002,PROD012,PROJ021,103000,10,10300,5,97850,72100,25750,Online,Europe,EUR
TXN057,20240726,CUST007,EMP014,PROD017,PROJ019,128000,13,9846,0,128000,89600,38400,Partner,Asia Pacific,EUR
TXN058,20240730,CUST008,EMP015,PROD024,PROJ020,79000,7,11286,8,72680,55300,17380,Direct Sales,North America,EUR
TXN059,20240802,CUST009,EMP001,PROD019,PROJ019,141000,15,9400,0,141000,98700,42300,Direct Sales,North America,EUR
TXN060,20240806,CUST010,EMP002,PROD025,PROJ021,88000,8,11000,6,82720,61600,21120,Online,Europe,EUR
TXN061,20240809,CUST011,EMP014,PROD003,PROJ019,116000,11,10545,0,116000,81200,34800,Partner,Asia Pacific,EUR
TXN062,20240813,CUST012,EMP015,PROD026,PROJ020,92000,9,10222,5,87400,64400,23000,Direct Sales,North America,EUR
TXN063,20240816,CUST013,EMP001,PROD010,PROJ019,157000,17,9235,0,157000,109900,47100,Direct Sales,North America,EUR
TXN064,20240820,CUST014,EMP002,PROD018,PROJ021,95000,9,10556,4,91200,66500,24700,Online,Europe,EUR
TXN065,20240823,CUST015,EMP014,PROD027,PROJ019,123000,12,10250,0,123000,86100,36900,Partner,Asia Pacific,EUR
TXN066,20240827,CUST016,EMP015,PROD021,PROJ020,81000,7,11571,10,72900,56700,16200,Direct Sales,North America,EUR
TXN067,20240830,CUST017,EMP001,PROD028,PROJ019,149000,16,9313,0,149000,104300,44700,Direct Sales,North America,EUR
TXN068,20240903,CUST018,EMP002,PROD014,PROJ021,87000,8,10875,7,80890,60900,19990,Online,Europe,EUR
TXN069,20240906,CUST019,EMP014,PROD029,PROJ019,114000,11,10364,0,114000,79800,34200,Partner,Asia Pacific,EUR
TXN070,20240910,CUST020,EMP015,PROD015,PROJ020,96000,9,10667,8,88320,67200,21120,Direct Sales,North America,EUR
TXN071,20240913,CUST021,EMP001,PROD030,PROJ019,162000,18,9000,0,162000,113400,48600,Direct Sales,North America,EUR
TXN072,20240917,CUST022,EMP002,PROD023,PROJ021,99000,10,9900,5,94050,69300,24750,Online,Europe,EUR
TXN073,20240920,CUST023,EMP014,PROD011,PROJ019,127000,12,10583,0,127000,88900,38100,Partner,Asia Pacific,EUR
TXN074,20240924,CUST024,EMP015,PROD031,PROJ020,84000,7,12000,6,78960,58800,20160,Direct Sales,North America,EUR
TXN075,20240927,CUST025,EMP001,PROD026,PROJ019,155000,17,9118,0,155000,108500,46500,Direct Sales,North America,EUR
TXN076,20241001,CUST026,EMP002,PROD032,PROJ030,102000,10,10200,4,97920,71400,26520,Online,Europe,EUR
TXN077,20241004,CUST027,EMP014,PROD020,PROJ028,131000,13,10077,0,131000,91700,39300,Partner,Asia Pacific,EUR
TXN078,20241008,CUST028,EMP015,PROD033,PROJ029,89000,8,11125,7,82830,62300,20530,Direct Sales,North America,EUR
TXN079,20241011,CUST029,EMP001,PROD024,PROJ030,168000,18,9333,0,168000,117600,50400,Direct Sales,North America,EUR
TXN080,20241015,CUST030,EMP002,PROD034,PROJ030,94000,9,10444,5,89300,65800,23500,Online,Europe,EUR
TXN081,20241018,CUST031,EMP014,PROD027,PROJ028,118000,11,10727,0,118000,82600,35400,Partner,Asia Pacific,EUR
TXN082,20241022,CUST032,EMP015,PROD035,PROJ029,87000,8,10875,8,80040,60900,19140,Direct Sales,North America,EUR
TXN083,20241025,CUST033,EMP001,PROD022,PROJ030,159000,16,9938,0,159000,111300,47700,Direct Sales,North America,EUR
TXN084,20241029,CUST034,EMP002,PROD036,PROJ030,91000,9,10111,6,85540,63700,21840,Online,Europe,EUR
TXN085,20241101,CUST035,EMP014,PROD029,PROJ028,125000,12,10417,0,125000,87500,37500,Partner,Asia Pacific,EUR
TXN086,20241105,CUST036,EMP015,PROD037,PROJ029,83000,7,11857,9,75530,58100,17430,Direct Sales,North America,EUR
TXN087,20241108,CUST037,EMP001,PROD031,PROJ030,171000,18,9500,0,171000,119700,51300,Direct Sales,North America,EUR
TXN088,20241112,CUST038,EMP002,PROD038,PROJ030,96000,9,10667,4,92160,67200,24960,Online,Europe,EUR
TXN089,20241115,CUST039,EMP014,PROD025,PROJ028,122000,11,11091,0,122000,85400,36600,Partner,Asia Pacific,EUR
TXN090,20241119,CUST040,EMP015,PROD039,PROJ029,88000,8,11000,10,79200,61600,17600,Direct Sales,North America,EUR
TXN091,20241122,CUST041,EMP001,PROJ040,PROD033,PROJ030,164000,17,9647,0,164000,114800,49200,Direct Sales,North America,EUR
TXN092,20241126,CUST042,EMP002,PROD028,PROJ030,99000,10,9900,5,94050,69300,24750,Online,Europe,EUR
TXN093,20241129,CUST043,EMP014,PROD041,PROJ028,129000,12,10750,0,129000,90300,38700,Partner,Asia Pacific,EUR
TXN094,20241203,CUST044,EMP015,PROD032,PROJ029,85000,7,12143,7,79050,59500,19550,Direct Sales,North America,EUR
TXN095,20241206,CUST045,EMP001,PROD042,PROJ030,174000,18,9667,0,174000,121800,52200,Direct Sales,North America,EUR
TXN096,20241210,CUST046,EMP002,PROD035,PROJ030,92000,9,10222,6,86480,64400,22080,Online,Europe,EUR
TXN097,20241213,CUST047,EMP014,PROD043,PROJ028,126000,12,10500,0,126000,88200,37800,Partner,Asia Pacific,EUR
TXN098,20241217,CUST048,EMP015,PROD036,PROJ029,90000,8,11250,8,82800,63000,19800,Direct Sales,North America,EUR
TXN099,20241220,CUST049,EMP001,PROD044,PROJ030,177000,19,9316,0,177000,123900,53100,Direct Sales,North America,EUR
TXN100,20241224,CUST050,EMP002,PROD037,PROJ030,94000,9,10444,4,90240,65800,24440,Online,Europe,EUR
