Rgpt New Report,Detail,Supplier,Rgpt 2,Rgpt EURSI,Zone,Fcst 24 tx 24,Fcst 25 tx 25,fcst 26x forecast taux 25,company,Domain,DOMAIN,SL,Sourcing DB currency,Company currency,Dashboard currency Use,Generic suContracts,Reference Name of t Contract,Domain
OK,BS,4,1,3,AMERICAS,74.755,84.483,25.327,416 - XYZ,FIN,BS,,EUR,USD,EUR,BSS-Senio SA-MS3C-20100912,416 - XYZ BSS-Senio,BS
OK,XX,0,1,4,AMERICAS,55.442,42.925,61.733,415 - ABC,ASSI,BS,,USD,EUR,USD,BSS-Sawl SA-MS3C-20170906,415 - ABC BSS-Sawl,BS
NA,NA,0,4,2,AMERICAS,62.729,98.975,34.588,415 - ABC,OPS,BS,,EUR,USD,EUR,BSS-Thom SA-MS3C-20160219,415 - ABC BSS-Thom,BS
OK,NA,0,3,2,EMEA,58.918,85.706,17.298,414 - SML,FIN,BS,,USD,EUR,USD,BSS-Travel SA-MS3C-20131014,414 - SML BSS-Travel,BS
NA,NA,4,1,1,APAC,46.813,12.18,32.502,414 - SML,FIN,BS,,EUR,USD,USD,BSS-Config SA-MS3C-20051222,414 - SML BSS-Config,BS
NA,BS,3,4,0,AMERICAS,80.065,6.6,25.124,416 - XYZ,FIN,BS,,EUR,EUR,EUR,BSS-Other SA-MS3C-20190302,416 - XYZ BSS-Other,BS
OK,BS,0,3,2,EMEA,84.284,18.614,######,416 - XYZ,OPS,BS,,EUR,EUR,EUR,BSS-Travel SA-MS3C-20121224,416 - XYZ BSS-Travel,BS
NA,XX,0,3,4,AMERICAS,73.312,73.778,59.777,415 - ABC,ASSI,BS,,USD,USD,USD,BSS-Sawl SA-MS3C-20050128,415 - ABC BSS-Sawl,BS
OK,XX,3,5,2,APAC,94.275,######,72.241,415 - ABC,OPS,BS,,USD,BRL,EUR,BSS-Travel SA-MS3C-20141213,415 - ABC BSS-Travel,BS
OK,XX,4,4,2,EMEA,17.079,52.092,36.461,415 - ABC,ASSI,BS,,USD,USD,EUR,BSS-Other SA-MS3C-20080913,415 - ABC BSS-Other,BS
OK,NA,4,1,0,AMERICAS,64.543,82.918,63.923,414 - SML,FIN,BS,,BRL,USD,USD,BSS-Travel SA-MS3C-20161025,414 - SML BSS-Travel,BS
NA,NA,1,2,0,AMERICAS,53.16,51.486,15.25,416 - XYZ,OPS,BS,,USD,USD,USD,BSS-Train SA-MS3C-20250717,416 - XYZ BSS-Train,BS
OK,XX,1,5,1,AMERICAS,######,65.903,9.45,415 - ABC,ASSI,BS,,BRL,USD,USD,BSS-Sawl SA-MS3C-20100411,415 - ABC BSS-Sawl,BS
NA,BS,4,5,4,APAC,88.827,16.876,88.507,414 - SML,OPS,BS,,EUR,USD,EUR,BSS-Config SA-MS3C-20141023,414 - SML BSS-Config,BS
NA,NA,2,1,4,EMEA,44.764,57.312,22.1,414 - SML,OPS,BS,,USD,USD,EUR,BSS-Thom SA-MS3C-20200814,414 - SML BSS-Thom,BS
NA,BS,0,5,0,AMERICAS,86.179,12.993,6.623,416 - XYZ,OPS,BS,,EUR,BRL,USD,BSS-Sawl SA-MS3C-20070514,416 - XYZ BSS-Sawl,BS
NA,NA,1,0,0,AMERICAS,83.455,74.944,######,414 - SML,OPS,BS,,BRL,USD,USD,BSS-Sawl SA-MS3C-20200316,414 - SML BSS-Sawl,BS
NA,NA,5,2,1,APAC,49.244,32.489,73.133,415 - ABC,ASSI,BS,,BRL,EUR,EUR,BSS-Train SA-MS3C-20121005,415 - ABC BSS-Train,BS
OK,NA,2,0,1,EMEA,52.897,7.714,73.268,416 - XYZ,FIN,BS,,EUR,USD,EUR,BSS-Config SA-MS3C-20200403,416 - XYZ BSS-Config,BS
OK,XX,2,3,0,AMERICAS,45.21,88.673,27.697,415 - ABC,FIN,BS,,USD,USD,USD,BSS-Thom SA-MS3C-20060524,415 - ABC BSS-Thom,BS
OK,BS,4,2,3,AMERICAS,14.62,66.354,53.882,416 - XYZ,OPS,BS,,BRL,EUR,USD,BSS-Taxes SA-MS3C-20230523,416 - XYZ BSS-Taxes,BS
NA,XX,4,1,5,EMEA,41.011,28.09,92.635,414 - SML,OPS,BS,,EUR,BRL,EUR,BSS-Config SA-MS3C-20120505,414 - SML BSS-Config,BS
NA,XX,0,5,2,AMERICAS,40.144,83.985,77.654,415 - ABC,ASSI,BS,,BRL,BRL,USD,BSS-Other SA-MS3C-20190104,415 - ABC BSS-Other,BS
OK,XX,3,3,2,APAC,71.502,61.967,63.784,416 - XYZ,ASSI,BS,,EUR,BRL,USD,BSS-Travel SA-MS3C-20140313,416 - XYZ BSS-Travel,BS
NA,XX,0,4,5,AMERICAS,######,13.813,59.014,414 - SML,ASSI,BS,,EUR,EUR,EUR,BSS-Senio SA-MS3C-20200907,414 - SML BSS-Senio,BS
NA,XX,2,5,0,AMERICAS,55.5,35.752,7.5,414 - SML,FIN,BS,,USD,USD,USD,BSS-Sawl SA-MS3C-20160803,414 - SML BSS-Sawl,BS
NA,NA,4,4,2,APAC,47.055,4.251,29.695,414 - SML,OPS,BS,,EUR,EUR,EUR,BSS-Sawl SA-MS3C-20060913,414 - SML BSS-Sawl,BS
NA,XX,1,4,1,APAC,39.417,39.833,65.692,416 - XYZ,OPS,BS,,BRL,EUR,USD,BSS-Train SA-MS3C-20110907,416 - XYZ BSS-Train,BS
OK,XX,4,0,3,EMEA,21.736,26.661,91.87,415 - ABC,FIN,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20221126,415 - ABC BSS-Taxes,BS
OK,NA,2,5,5,EMEA,11.337,79.751,4.557,415 - ABC,FIN,BS,,EUR,BRL,EUR,BSS-Train SA-MS3C-20220220,415 - ABC BSS-Train,BS
OK,BS,5,3,3,EMEA,38.234,69.24,79.265,416 - XYZ,FIN,BS,,USD,BRL,EUR,BSS-Taxes SA-MS3C-20080426,416 - XYZ BSS-Taxes,BS
OK,XX,5,4,2,AMERICAS,99.017,9.146,78.621,414 - SML,OPS,BS,,USD,BRL,USD,BSS-Train SA-MS3C-20251128,414 - SML BSS-Train,BS
NA,BS,3,4,5,APAC,39.397,33.392,25.993,415 - ABC,ASSI,BS,,BRL,BRL,EUR,BSS-Config SA-MS3C-20100107,415 - ABC BSS-Config,BS
OK,BS,2,3,3,EMEA,94.984,94.786,4.876,416 - XYZ,FIN,BS,,USD,USD,USD,BSS-Travel SA-MS3C-20070224,416 - XYZ BSS-Travel,BS
NA,XX,0,0,3,AMERICAS,21.301,80.926,49.299,416 - XYZ,ASSI,BS,,EUR,USD,EUR,BSS-Travel SA-MS3C-20210719,416 - XYZ BSS-Travel,BS
NA,XX,2,1,5,EMEA,35.152,10.099,33.69,414 - SML,ASSI,BS,,BRL,BRL,EUR,BSS-Sawl SA-MS3C-20071012,414 - SML BSS-Sawl,BS
NA,NA,2,4,5,EMEA,92.912,62.997,92.767,415 - ABC,FIN,BS,,EUR,USD,USD,BSS-Thom SA-MS3C-20080327,415 - ABC BSS-Thom,BS
OK,BS,4,1,0,APAC,76.073,57.201,51.401,416 - XYZ,FIN,BS,,EUR,USD,EUR,BSS-Sawl SA-MS3C-20241213,416 - XYZ BSS-Sawl,BS
NA,BS,1,1,0,EMEA,22.712,41.772,43.958,414 - SML,ASSI,BS,,USD,USD,EUR,BSS-Train SA-MS3C-20190116,414 - SML BSS-Train,BS
NA,BS,5,3,5,APAC,79.489,12.804,81.914,416 - XYZ,ASSI,BS,,USD,USD,EUR,BSS-Sawl SA-MS3C-20241120,416 - XYZ BSS-Sawl,BS
OK,BS,3,4,2,AMERICAS,53.536,33.147,18.655,416 - XYZ,OPS,BS,,USD,USD,EUR,BSS-Config SA-MS3C-20250509,416 - XYZ BSS-Config,BS
OK,XX,2,1,1,EMEA,42.008,52.964,48.134,415 - ABC,OPS,BS,,USD,EUR,USD,BSS-Travel SA-MS3C-20160603,415 - ABC BSS-Travel,BS
NA,BS,0,0,0,EMEA,######,27.465,96.135,416 - XYZ,OPS,BS,,EUR,USD,EUR,BSS-Travel SA-MS3C-20170418,416 - XYZ BSS-Travel,BS
NA,BS,4,2,3,AMERICAS,79.108,20.987,42.542,414 - SML,FIN,BS,,EUR,BRL,USD,BSS-Senio SA-MS3C-20070407,414 - SML BSS-Senio,BS
OK,BS,5,5,2,EMEA,28.414,4.755,3.869,416 - XYZ,OPS,BS,,EUR,EUR,USD,BSS-Travel SA-MS3C-20190624,416 - XYZ BSS-Travel,BS
NA,XX,0,1,4,AMERICAS,15.867,76.07,67.266,416 - XYZ,FIN,BS,,EUR,EUR,USD,BSS-Travel SA-MS3C-20151024,416 - XYZ BSS-Travel,BS
NA,XX,3,3,3,APAC,65.139,70.022,71.739,414 - SML,ASSI,BS,,USD,BRL,EUR,BSS-Thom SA-MS3C-20141224,414 - SML BSS-Thom,BS
NA,NA,5,5,4,APAC,39.545,19.125,20.534,415 - ABC,OPS,BS,,USD,EUR,USD,BSS-Travel SA-MS3C-20121104,415 - ABC BSS-Travel,BS
NA,NA,2,0,5,EMEA,5.532,45.744,22.128,416 - XYZ,OPS,BS,,BRL,USD,EUR,BSS-Train SA-MS3C-20140301,416 - XYZ BSS-Train,BS
OK,BS,0,1,2,AMERICAS,39.458,8.684,75.656,415 - ABC,OPS,BS,,EUR,EUR,EUR,BSS-Other SA-MS3C-20050111,415 - ABC BSS-Other,BS
OK,NA,2,3,3,APAC,30.528,43.411,33.369,415 - ABC,OPS,BS,,USD,USD,USD,BSS-Sawl SA-MS3C-20250616,415 - ABC BSS-Sawl,BS
NA,BS,4,4,1,APAC,12.467,83.575,8.271,414 - SML,FIN,BS,,BRL,USD,EUR,BSS-Taxes SA-MS3C-20200525,414 - SML BSS-Taxes,BS
OK,BS,1,0,3,AMERICAS,47.639,94.948,34.025,415 - ABC,ASSI,BS,,EUR,USD,USD,BSS-Config SA-MS3C-20130813,415 - ABC BSS-Config,BS
OK,BS,5,4,2,AMERICAS,61.606,28.978,78.468,414 - SML,OPS,BS,,BRL,BRL,EUR,BSS-Train SA-MS3C-20181007,414 - SML BSS-Train,BS
OK,NA,1,2,2,AMERICAS,69.216,88.71,71.285,415 - ABC,OPS,BS,,USD,BRL,USD,BSS-Config SA-MS3C-20150117,415 - ABC BSS-Config,BS
NA,NA,3,5,3,EMEA,9.331,10.149,61.452,414 - SML,OPS,BS,,BRL,USD,USD,BSS-Taxes SA-MS3C-20180416,414 - SML BSS-Taxes,BS
NA,XX,0,0,2,EMEA,88.339,71.684,88.326,415 - ABC,OPS,BS,,EUR,EUR,EUR,BSS-Taxes SA-MS3C-20080110,415 - ABC BSS-Taxes,BS
OK,XX,1,0,1,APAC,15.193,72.38,20.905,416 - XYZ,FIN,BS,,BRL,BRL,EUR,BSS-Travel SA-MS3C-20080727,416 - XYZ BSS-Travel,BS
NA,XX,3,1,0,APAC,31.506,24.421,64.201,416 - XYZ,FIN,BS,,BRL,BRL,USD,BSS-Thom SA-MS3C-20070906,416 - XYZ BSS-Thom,BS
OK,XX,4,0,5,APAC,60.651,60.883,41.432,416 - XYZ,FIN,BS,,BRL,EUR,EUR,BSS-Travel SA-MS3C-20101212,416 - XYZ BSS-Travel,BS
NA,NA,3,1,5,EMEA,43.085,93.993,2.567,414 - SML,ASSI,BS,,EUR,EUR,USD,BSS-Other SA-MS3C-20160711,414 - SML BSS-Other,BS
OK,NA,3,4,4,APAC,49.168,12.297,93.504,415 - ABC,OPS,BS,,BRL,EUR,EUR,BSS-Other SA-MS3C-20130618,415 - ABC BSS-Other,BS
NA,BS,3,5,1,AMERICAS,68.38,27.314,57.788,414 - SML,ASSI,BS,,EUR,USD,USD,BSS-Config SA-MS3C-20201109,414 - SML BSS-Config,BS
NA,NA,0,3,5,AMERICAS,29.95,######,93.445,414 - SML,FIN,BS,,BRL,USD,USD,BSS-Senio SA-MS3C-20230914,414 - SML BSS-Senio,BS
OK,NA,3,2,0,APAC,88.944,7.116,41.556,416 - XYZ,OPS,BS,,EUR,BRL,USD,BSS-Taxes SA-MS3C-20120128,416 - XYZ BSS-Taxes,BS
NA,NA,2,3,0,EMEA,34.243,60.479,91.152,415 - ABC,ASSI,BS,,USD,BRL,USD,BSS-Train SA-MS3C-20071027,415 - ABC BSS-Train,BS
NA,XX,4,3,2,APAC,46.528,97.393,43.631,414 - SML,ASSI,BS,,BRL,EUR,EUR,BSS-Travel SA-MS3C-20210428,414 - SML BSS-Travel,BS
NA,BS,5,2,2,APAC,35.644,60.197,98.578,416 - XYZ,OPS,BS,,USD,EUR,EUR,BSS-Config SA-MS3C-20050211,416 - XYZ BSS-Config,BS
OK,XX,1,2,0,AMERICAS,48.12,93.243,78.382,414 - SML,OPS,BS,,EUR,BRL,EUR,BSS-Taxes SA-MS3C-20191025,414 - SML BSS-Taxes,BS
NA,BS,3,3,3,APAC,76.428,86.144,37.081,415 - ABC,FIN,BS,,BRL,BRL,USD,BSS-Other SA-MS3C-20241111,415 - ABC BSS-Other,BS
OK,XX,1,5,3,AMERICAS,78.352,95.639,80.661,416 - XYZ,OPS,BS,,BRL,BRL,EUR,BSS-Thom SA-MS3C-20100201,416 - XYZ BSS-Thom,BS
OK,NA,5,5,1,APAC,49.745,76.097,73.277,415 - ABC,FIN,BS,,USD,USD,USD,BSS-Taxes SA-MS3C-20120716,415 - ABC BSS-Taxes,BS
OK,BS,2,4,5,AMERICAS,34.365,13.967,22.335,414 - SML,FIN,BS,,EUR,EUR,USD,BSS-Travel SA-MS3C-20230617,414 - SML BSS-Travel,BS
NA,XX,4,3,1,APAC,73.647,26.968,######,415 - ABC,FIN,BS,,EUR,USD,USD,BSS-Taxes SA-MS3C-20151215,415 - ABC BSS-Taxes,BS
NA,NA,0,5,4,EMEA,27.032,85.976,44.68,414 - SML,ASSI,BS,,EUR,USD,EUR,BSS-Config SA-MS3C-20191013,414 - SML BSS-Config,BS
OK,XX,5,3,1,APAC,56.445,96.247,57.444,416 - XYZ,OPS,BS,,USD,USD,EUR,BSS-Taxes SA-MS3C-20130310,416 - XYZ BSS-Taxes,BS
OK,BS,5,3,1,AMERICAS,70.778,32.135,37.531,416 - XYZ,FIN,BS,,BRL,BRL,USD,BSS-Train SA-MS3C-20170704,416 - XYZ BSS-Train,BS
OK,BS,3,3,2,APAC,44.868,17.213,44.486,416 - XYZ,FIN,BS,,EUR,USD,EUR,BSS-Senio SA-MS3C-20200601,416 - XYZ BSS-Senio,BS
OK,XX,2,5,5,EMEA,59.389,11.809,72.416,415 - ABC,FIN,BS,,USD,USD,EUR,BSS-Sawl SA-MS3C-20071008,415 - ABC BSS-Sawl,BS
OK,BS,5,2,1,AMERICAS,24.427,25.759,60.916,415 - ABC,FIN,BS,,USD,BRL,EUR,BSS-Config SA-MS3C-20210719,415 - ABC BSS-Config,BS
NA,NA,1,0,4,AMERICAS,13.471,27.4,64.213,415 - ABC,ASSI,BS,,BRL,BRL,EUR,BSS-Taxes SA-MS3C-20061004,415 - ABC BSS-Taxes,BS
OK,XX,1,5,2,AMERICAS,53.751,71.12,80.328,414 - SML,OPS,BS,,BRL,BRL,EUR,BSS-Travel SA-MS3C-20240714,414 - SML BSS-Travel,BS
NA,NA,2,4,2,APAC,44.359,19.082,97.157,414 - SML,OPS,BS,,USD,BRL,USD,BSS-Senio SA-MS3C-20230313,414 - SML BSS-Senio,BS
OK,XX,2,5,4,EMEA,2.4,71.118,15.474,416 - XYZ,FIN,BS,,BRL,BRL,EUR,BSS-Taxes SA-MS3C-20140516,416 - XYZ BSS-Taxes,BS
OK,NA,2,0,4,EMEA,4.291,77.712,74.627,415 - ABC,ASSI,BS,,BRL,EUR,EUR,BSS-Config SA-MS3C-20160712,415 - ABC BSS-Config,BS
NA,NA,3,2,5,EMEA,65.506,78.286,14.709,416 - XYZ,ASSI,BS,,BRL,BRL,EUR,BSS-Sawl SA-MS3C-20190520,416 - XYZ BSS-Sawl,BS
OK,XX,3,5,2,EMEA,73.422,26.987,16.3,415 - ABC,FIN,BS,,EUR,USD,EUR,BSS-Thom SA-MS3C-20141106,415 - ABC BSS-Thom,BS
OK,NA,2,4,2,APAC,######,14.201,3.648,414 - SML,FIN,BS,,EUR,BRL,USD,BSS-Senio SA-MS3C-20151002,414 - SML BSS-Senio,BS
OK,BS,3,0,5,EMEA,88.334,15.694,65.782,414 - SML,FIN,BS,,EUR,BRL,EUR,BSS-Thom SA-MS3C-20190102,414 - SML BSS-Thom,BS
NA,XX,4,0,5,EMEA,85.741,40.986,40.746,416 - XYZ,OPS,BS,,EUR,EUR,EUR,BSS-Config SA-MS3C-20050311,416 - XYZ BSS-Config,BS
NA,XX,3,4,2,APAC,34.841,52.103,87.305,416 - XYZ,ASSI,BS,,EUR,USD,USD,BSS-Train SA-MS3C-20051114,416 - XYZ BSS-Train,BS
NA,BS,3,4,5,APAC,53.988,41.238,24.285,415 - ABC,FIN,BS,,BRL,BRL,USD,BSS-Other SA-MS3C-20050118,415 - ABC BSS-Other,BS
NA,NA,4,5,5,EMEA,46.255,49.598,53.474,414 - SML,ASSI,BS,,USD,EUR,USD,BSS-Taxes SA-MS3C-20120426,414 - SML BSS-Taxes,BS
NA,NA,2,3,3,EMEA,56.644,74.054,83.12,416 - XYZ,OPS,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20240624,416 - XYZ BSS-Taxes,BS
OK,XX,2,0,0,EMEA,35.6,54.407,62.786,415 - ABC,ASSI,BS,,USD,USD,USD,BSS-Taxes SA-MS3C-20130409,415 - ABC BSS-Taxes,BS
NA,XX,0,1,2,EMEA,2.972,59.934,90.433,414 - SML,OPS,BS,,EUR,BRL,USD,BSS-Other SA-MS3C-20221116,414 - SML BSS-Other,BS
OK,XX,5,0,0,APAC,91.496,33.885,81.781,416 - XYZ,ASSI,BS,,BRL,BRL,USD,BSS-Thom SA-MS3C-20251026,416 - XYZ BSS-Thom,BS
OK,NA,5,1,0,AMERICAS,78.339,33.204,57.951,416 - XYZ,OPS,BS,,EUR,BRL,USD,BSS-Other SA-MS3C-20130205,416 - XYZ BSS-Other,BS
NA,BS,0,2,2,APAC,3.058,56.574,38.814,416 - XYZ,OPS,BS,,EUR,USD,EUR,BSS-Senio SA-MS3C-20160913,416 - XYZ BSS-Senio,BS
OK,NA,2,4,3,EMEA,98.31,38.374,87.879,415 - ABC,OPS,BS,,BRL,BRL,USD,BSS-Config SA-MS3C-20140916,415 - ABC BSS-Config,BS
NA,NA,5,2,5,EMEA,82.131,75.963,36.467,414 - SML,ASSI,BS,,EUR,EUR,EUR,BSS-Config SA-MS3C-20150721,414 - SML BSS-Config,BS
NA,XX,3,0,3,EMEA,2.122,23.501,62.112,414 - SML,OPS,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20170315,414 - SML BSS-Taxes,BS
NA,NA,0,1,2,EMEA,48.177,48.794,98.11,414 - SML,FIN,BS,,USD,BRL,USD,BSS-Taxes SA-MS3C-20220906,414 - SML BSS-Taxes,BS
NA,NA,2,2,4,APAC,30.368,99.702,69.906,414 - SML,FIN,BS,,EUR,BRL,USD,BSS-Sawl SA-MS3C-20180921,414 - SML BSS-Sawl,BS
OK,XX,1,0,0,APAC,96.994,60.999,89.651,415 - ABC,ASSI,BS,,EUR,BRL,USD,BSS-Thom SA-MS3C-20170618,415 - ABC BSS-Thom,BS
OK,NA,2,5,2,EMEA,61.194,61.825,85.203,414 - SML,ASSI,BS,,BRL,BRL,EUR,BSS-Taxes SA-MS3C-20190818,414 - SML BSS-Taxes,BS
NA,BS,3,5,0,EMEA,32.615,87.415,8.681,416 - XYZ,ASSI,BS,,EUR,EUR,USD,BSS-Senio SA-MS3C-20070922,416 - XYZ BSS-Senio,BS
NA,BS,2,0,2,EMEA,94.359,28.6,89.929,414 - SML,OPS,BS,,USD,USD,EUR,BSS-Thom SA-MS3C-20081101,414 - SML BSS-Thom,BS
OK,BS,0,3,1,EMEA,27.867,88.679,54.25,416 - XYZ,FIN,BS,,EUR,USD,EUR,BSS-Senio SA-MS3C-20250622,416 - XYZ BSS-Senio,BS
NA,BS,0,1,1,APAC,83.968,10.58,71.817,414 - SML,ASSI,BS,,USD,USD,USD,BSS-Senio SA-MS3C-20220819,414 - SML BSS-Senio,BS
NA,XX,2,2,0,AMERICAS,27.992,92.018,11.892,415 - ABC,OPS,BS,,EUR,USD,EUR,BSS-Other SA-MS3C-20080514,415 - ABC BSS-Other,BS
OK,XX,2,3,5,APAC,44.717,98.829,97.026,415 - ABC,ASSI,BS,,BRL,EUR,USD,BSS-Config SA-MS3C-20100715,415 - ABC BSS-Config,BS
OK,NA,3,5,1,AMERICAS,6.969,22.051,85.847,416 - XYZ,ASSI,BS,,USD,EUR,EUR,BSS-Train SA-MS3C-20100809,416 - XYZ BSS-Train,BS
NA,BS,5,5,3,EMEA,20.066,39.509,69.894,416 - XYZ,FIN,BS,,EUR,USD,USD,BSS-Senio SA-MS3C-20140713,416 - XYZ BSS-Senio,BS
OK,BS,5,0,5,EMEA,75.178,71.873,70.724,415 - ABC,ASSI,BS,,USD,BRL,EUR,BSS-Travel SA-MS3C-20121125,415 - ABC BSS-Travel,BS
OK,XX,0,1,2,APAC,25.095,41.804,35.832,414 - SML,OPS,BS,,USD,EUR,EUR,BSS-Taxes SA-MS3C-20130721,414 - SML BSS-Taxes,BS
NA,BS,3,3,3,AMERICAS,12.859,25.98,84.817,416 - XYZ,OPS,BS,,EUR,BRL,EUR,BSS-Senio SA-MS3C-20051119,416 - XYZ BSS-Senio,BS
NA,NA,3,0,4,AMERICAS,78.932,24.891,2.675,415 - ABC,FIN,BS,,USD,BRL,EUR,BSS-Train SA-MS3C-20220615,415 - ABC BSS-Train,BS
NA,NA,2,4,3,APAC,34.804,11.191,13.371,416 - XYZ,OPS,BS,,BRL,EUR,USD,BSS-Senio SA-MS3C-20200310,416 - XYZ BSS-Senio,BS
NA,NA,2,2,2,APAC,98.665,47.947,55.387,416 - XYZ,ASSI,BS,,USD,EUR,EUR,BSS-Config SA-MS3C-20231023,416 - XYZ BSS-Config,BS
OK,XX,5,0,0,EMEA,33.631,6.538,74.164,414 - SML,FIN,BS,,USD,EUR,EUR,BSS-Senio SA-MS3C-20250625,414 - SML BSS-Senio,BS
OK,BS,1,3,0,APAC,73.722,15.86,34.242,415 - ABC,OPS,BS,,EUR,EUR,USD,BSS-Config SA-MS3C-20120404,415 - ABC BSS-Config,BS
NA,NA,3,3,3,AMERICAS,8.571,70.78,57.572,416 - XYZ,OPS,BS,,BRL,USD,USD,BSS-Sawl SA-MS3C-20141120,416 - XYZ BSS-Sawl,BS
NA,NA,5,4,2,EMEA,91.936,25.402,73.108,415 - ABC,ASSI,BS,,BRL,BRL,EUR,BSS-Config SA-MS3C-20080819,415 - ABC BSS-Config,BS
NA,BS,3,1,5,EMEA,64.225,11.619,17.111,414 - SML,ASSI,BS,,EUR,USD,EUR,BSS-Taxes SA-MS3C-20170823,414 - SML BSS-Taxes,BS
OK,BS,1,0,5,EMEA,90.047,60.847,28.596,415 - ABC,OPS,BS,,EUR,EUR,USD,BSS-Taxes SA-MS3C-20220502,415 - ABC BSS-Taxes,BS
NA,BS,4,1,3,AMERICAS,51.959,69.345,58.252,416 - XYZ,OPS,BS,,USD,BRL,EUR,BSS-Other SA-MS3C-20080321,416 - XYZ BSS-Other,BS
NA,XX,1,0,1,APAC,10.771,38.75,45.127,416 - XYZ,FIN,BS,,USD,BRL,USD,BSS-Other SA-MS3C-20160219,416 - XYZ BSS-Other,BS
OK,BS,5,5,3,APAC,74.647,20.867,73.679,416 - XYZ,ASSI,BS,,EUR,BRL,EUR,BSS-Travel SA-MS3C-20090515,416 - XYZ BSS-Travel,BS
OK,NA,3,4,1,AMERICAS,46.138,80.21,99.475,416 - XYZ,FIN,BS,,BRL,BRL,USD,BSS-Taxes SA-MS3C-20130201,416 - XYZ BSS-Taxes,BS
