SupplierName,Dept,Service,NatAnal,ModuleName,Company,Account,Site,Section,Structure,Intercompany,Nature,Major,Minor,GroupSectionAndDescription,LedgerName,Source,Category,Supplier Number,SupplierName_Fake,DocumentCurrency,Ledgercurrency,AmoutinEUR,DebitEnteredAmount,CreditEnteredAmount,DebitAccountedAmount,CreditAccountedAmount,DateCreated,POOrderedDate,DueDate
BHXWC FQH INC,MQ,ES,Capitalized production (PRIM),PA,TechnoGlobal Industries,6063000,CGR,14562Z,7950,723,N91_MASA_F,MAJ02_Prod_Maint_Wages_V,MIN0420,1432 ISIT Region Direction,MX_839_PL_USD,Spreadsheet,Labor Cost,44,Integrated Manufacturing,BRL,CAD,561636.23,922.11,0,284.74,0,2024/04/01,2024/10/11,2024/12/12
CILSE RMV INC,IN,DAP,Other expenses,AP,Nexus Enterprise Holdings,6446100,LAV,98158Z,7956,407,N88_CESSIONS_DORD,MAJ07_Transportation_V,MIN0320,9828 Other operational expenses & revenue non allocated,BR_414_PL_BRL,Spreadsheet,GL_Tax,22,Reliable Manufacturing Group,CAD,USD,529494.78,132.02,0,206.0,0,2024/10/03,2025/07/01,2025/07/10
DNNXO WZL INC,MQ,ACC,Purchases,PA,Meridian Solutions Corp,6447706,RIO,14600A,7950,409,N99_DEPRECIATION_F,MAJ09_General_Overhead_V,MIN0230,1456 ISIT Charge back central,MX_839_PL_MXN,Payables,Misc Receipts,4,Professional Resources Ltd,EUR,CAD,721494.64,815.71,0,112.08,0,2023/11/17,2024/10/08,2025/06/13
GJDXG BUB INC,MQ,DIR,Telecom Voice,INV,Meridian Solutions Corp,6447704,PPC,14562Z,7950,567,N93_ENERGY_V,MAJ20_Allocation_FE_F,MIN0510,9828 Other operational expenses & revenue non allocated,MX_589_PL_MXN,Recurring,Addition,26,Integrated Manufacturing,GBP,MXN,995199.5,351.78,0,540.15,0,2025/03/24,2025/05/27,2025/08/14
FBTIF RBQ INC,DIR,GOSM,Maintenance & Rental,PA,Nexus Enterprise Holdings,6240200,MXA,14480A,7950,407,N11_MASA_F,MAJ11_Income,MIN0917,9828 Other operational expenses & revenue non allocated,MX_589_PL_MXN,Receivables,Reclass,50,Precision Parts Corp,CAD,USD,521560.39,128.99,0,108.45,0,2024/09/03,2025/03/21,2025/08/29
NJNMJ JDY INC,DIR,SC,Training,PA,Nexus Enterprise Holdings,6735000,PP1,14600A,7956,407,N70_DEPRECIATION_F,MAJ10_Advertising_F,MIN2063,1440 ISIT Infra Data centre & applications platforms (DAP),US_415_PL_USD,Manual,Adjustment,22,First Class Manufacturing,EUR,MXN,735474.09,110.1,0,221.69,0,2025/08/27,2025/10/01,2025/10/26
EWJKZ GGW INC,DIR,MQ,Telecom Data,PA,TechnoGlobal Industries,6437704,DDD,14520A,7956,409,N23_FE_TRAVEL_F,MAJ20_Cascade_DEPRECIATION_F,MIN1620,1460 ISIT BSS Methods & Sales (MS),,Receivables,Receiving,44,Certified Components Inc,EUR,BRL,429722.38,216.53,0,598.18,0,2025/05/26,2025/06/10,2025/09/26
XNDVE FMG INC,IN,OTHER OP,Other expenses,PO,Nexus Enterprise Holdings,6438100,LAV,14400A,7956,723,N91_MASA_F,MAJ02_Prod_Maint_Wages_V,MIN0430,1444 ISIT Infra Service Line NET (Network),MX_839_PL_USD,Cost Management,Retirement,36,Modern Equipment Corp,BRL,CAD,386459.14,453.09,0,526.14,0,2025/10/22,2025/10/25,2025/10/25
RUZZH SSU INC,DIR,Infra - Projects,External Resources,INV,Apex Innovations Ltd,6457703,PPC,14580A,7956,723,N91_MASA_F,MAJ21_Allocation_DORD,MIN0420,1456 ISIT Charge back central,BR_414_PL_BRL,Payables,GL_AutoPrepa,47,Essential Services Co,CAD,BRL,400364.13,264.16,0,698.72,0,2023/09/23,2023/10/07,2023/12/12
BVXLI YHS INC,MQ,OPEN,Capitalized production (PRIM),PA,Apex Innovations Ltd,6180000,GRU,14320G,7956,415,N23_FE_TRAVEL_F,MAJ20_Cascade_ENERGY_V,MIN2071,1466 ISIT BSS Supply Chain (SC),BR_414_PL_BRL,Manual,Addition,36,Mega Solutions LLC,CAD,USD,139690.88,810.32,0,307.58,0,2025/09/08,2025/10/16,2025/10/22
CSDDS TNR INC,DIR,Infra - Projects,Telecom Voice,INV,TechnoGlobal Industries,6468701,RES,14580A,7956,567,N81_MASA_F,MAJ03_Temporary_Other_Labor_V,MIN1630,1452 ISIT Infra Management,US_415_PL_USD,Payables,GL_Payroll,24,Professional Services Corp,EUR,MXN,104821.29,10.5,0,53.67,0,2023/10/27,2025/10/02,2025/10/24
YXSHL ZEO INC,DIR,MF,Invoices sent,PO,Nexus Enterprise Holdings,6733000,MAN,98281C,7950,0,N23_FE_TRAVEL_F,MAJ10_Advertising_F,MIN0940,1460 ISIT BSS Methods & Sales (MS),,,Receiving,41,Elite Engineering Services,USD,MXN,959799.27,976.98,0,374.24,0,2024/03/27,2025/02/05,2025/06/04
NWQXI RXG INC,DIR,AFFILIATE,Salaries,INV,Apex Innovations Ltd,6310702,LAV,14320F,7956,200,N22_FE_F,MAJ11_Income,MIN0937,1458 ISIT BSS Entreprises Services (ES),,,Usage Cost,26,Quality First Industries,USD,MXN,163468.99,989.25,0,512.71,0,2025/09/08,2025/10/24,2025/10/31
HXFNX PHA INC,MQ,AFFILIATE,Telecom Voice,GL,Meridian Solutions Corp,6419999,LAV,14320J,7956,409,N93_ENERGY_V,MAJ21_Allocation_DORD,MIN0410,1436 ISIT Infra Service Line EUX (End User Experience),,Manual,GL_Intercompany,18,Excellence Manufacturing,EUR,MXN,128675.4,970.48,0,653.27,0,2024/03/05,2025/08/07,2025/09/23
NSAIV UBH INC,MQ,Infra - Projects,Internal,GL,Apex Innovations Ltd,9103100,PPC,14680B,7956,0,N30_ENERGY_V,MAJ02_Prod_Maint_Wages_V,MIN0210,9815 Expenses to be reinvoiced or reallocated,MX_589_PL_MXN,CLL F189 INTEGRATED RCV,REC,18,Precision Services Co,BRL,USD,952923.29,980.44,0,334.34,0,2024/10/01,2025/04/09,2025/08/30
RHOSP VPN INC,BSS,QPO,Internal,PO,Nexus Enterprise Holdings,6252000,MTC,14320J,7950,0,N97_FE_F,MAJ06_Utilities_Energy_V,MIN0970,1462 ISIT BSS Production Sytems (PS),,Spreadsheet,Misc Receipts,15,Professional Resources Ltd,CAD,USD,280239.24,283.04,0,54.46,0,2025/10/15,2025/10/28,2025/10/28
NDWBY MQJ INC,MQ,DEV,Other expenses,PO,Quantum Dynamics Group,6467200,CGR,14520A,7950,796,N24_FE_MISC_INCOME_F,MAJ20_Allocation_MASA_F,MIN0435,1468 ISIT BSS Management,BR_414_PL_BRL,CLL F189 INTEGRATED RCV,GL_AutoPrepa,12,Advanced Systems Group,MXN,BRL,710184.98,611.14,0,553.87,0,2023/07/10,2024/03/24,2024/07/10
YTRAW DBJ INC,IN,EC,Telecom Voice,PA,Meridian Solutions Corp,6262000,GRU,96500N,7956,407,N88_CESSIONS_DORD,MAJ20_Cascade_ENERGY_F,MIN0930,1432 ISIT Region Direction,US_415_PL_USD,,Misc Receipts,22,Certified Components Inc,GBP,MXN,345507.5,909.46,0,88.43,0,2023/02/20,2025/05/10,2025/10/06
WCVPC ULK INC,MQ,ES,Travels,PA,Quantum Dynamics Group,6453000,CGR,14400C,7950,407,N81_MASA_F,MAJ20_Cascade_ENERGY_V,MIN0925,1466 ISIT BSS Supply Chain (SC),MX_589_PL_MXN,,Write-off,1,Reliable Suppliers Group,CAD,CAD,434819.58,727.63,0,520.34,0,2025/10/10,2025/10/31,2025/11/01
QTFXO IAY INC,IN,MF,Telecom Voice,PO,Quantum Dynamics Group,6240000,RIO,98158Z,7950,415,N11_MASA_F,MAJ06_Utilities_Energy_V,MIN0945,1460 ISIT BSS Methods & Sales (MS),MX_839_PL_USD,MICH_EPW_GLJRNLINTF,GL_Accrual_Auto_Reversal,22,Superior Quality Goods,BRL,CAD,765338.82,842.56,0,383.4,0,2024/12/04,2024/12/10,2025/04/20
MVQRE AAD INC,DIR,RD,Purchases,GL,Quantum Dynamics Group,9831900,LAV,98281C,7956,511,N23_FE_TRAVEL_F,MAJ20_Allocation_FE_F,MIN0935,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_MXN,MICH_EPW_GLJRNLINTF,Inventory,30,Standard Products Company,USD,MXN,823112.39,919.78,0,823.28,0,2023/04/28,2023/05/11,2024/05/10
PTCRL NVD INC,DIR,Group ES,Travels,AP,TechnoGlobal Industries,6075000,CGR,14620A,7956,567,N22_FE_F,MAJ05_Maintenance_F,MIN0970,1444 ISIT Infra Service Line NET (Network),,MassAllocation,Interface,5,Standard Products Company,EUR,USD,473045.56,817.68,0,678.91,0,2025/02/23,2025/08/24,2025/08/27
MAGJF ULH INC,IN,Infra - Projects,Maintenance & Rental,AP,Nexus Enterprise Holdings,6447704,DDD,14520A,7956,409,N30_ENERGY_V,MAJ20_Allocation_FE_F,MIN0956,1468 ISIT BSS Management,MX_589_PL_MXN,MICH_EPW_GLJRNLINTF,Debit Memos,21,Premier Logistics Co,BRL,BRL,627335.02,797.33,0,817.1,0,2024/06/24,2024/10/05,2025/01/09
JKKWM ZOA INC,MQ,RD,Taxes,PA,Apex Innovations Ltd,9820900,MAN,14320F,7956,511,N22_FE_F,MAJ10_Advertising_F,MIN2040,1456 ISIT Charge back central,,Cost Management,GL_Accrual_Auto_Reversal,46,Optimal Distribution Co,CAD,BRL,21520.13,205.0,0,231.64,0,2024/01/27,2025/02/16,2025/08/12
QWTGX JBU INC,MQ,Group EUX,Depreciation,GL,Nexus Enterprise Holdings,6738000,RIO,14560B,7956,511,N88_CESSIONS_DORD,MAJ07_Transportation_V,MIN0505,1458 ISIT BSS Entreprises Services (ES),MX_589_PL_MXN,Recurring,Usage Cost,12,Reliable Suppliers Group,USD,CAD,904713.77,185.12,0,536.38,0,2024/11/07,2025/08/27,2025/10/15
SVIZY JZY INC,IN,Maestro,Telecom Voice,AP,Meridian Solutions Corp,6446100,MTC,14320J,7950,511,N24_FE_MISC_INCOME_F,MAJ16_Restructuring,MIN1510,1436 ISIT Infra Service Line EUX (End User Experience),CA_407_PL_CAD,Spreadsheet,GL_Payroll,5,Excellence Manufacturing,CAD,CAD,320699.75,2.55,0,181.42,0,2023/04/04,2023/04/08,2025/02/25
GPVNR QJN INC,MQ,Group ES,Salaries,GL,Meridian Solutions Corp,6818000,MTC,14680C,7950,409,N22_FE_F,MAJ07_Transportation_V,MIN0960,1460 ISIT BSS Methods & Sales (MS),,Payables,GL_Allocation_Auto_Revers,24,First Class Services Ltd,USD,CAD,12118.73,16.6,0,987.31,0,2023/12/27,2024/09/29,2025/07/08
CSDDS TNR INC,DIR,SC,Maintenance & Rental,AP,Meridian Solutions Corp,6733000,MXA,14360B,7956,0,N88_CESSIONS_DORD,MAJ16_FA_Disposal,MIN0410,1470 ISIT BSS IS Region managers (ISRM),MX_839_PL_USD,,Freight,10,Certified Distribution Corp,MXN,MXN,798713.06,635.91,0,477.4,0,2025/04/24,2025/07/23,2025/08/11
SPMPQ XRH INC,MQ,DEV,Purchases,GL,Nexus Enterprise Holdings,6738040,LAV,14680B,7956,0,N88_CESSIONS_DORD,MAJ21_Allocation_DORD,MIN0511,1432 ISIT Region Direction,MX_589_PL_MXN,MICH_EPW_GLJRNLINTF,GL_Accrual_Auto_Reversal,31,Prime Logistics Partners,USD,MXN,619638.32,542.85,0,942.66,0,2025/02/05,2025/03/23,2025/03/23
DFXJV GME INC,MQ,Group EC,Telecom Voice,INV,Quantum Dynamics Group,6447710,MAN,14320G,7950,511,N87_FE_F,MAJ21_Allocation_DORD,MIN0936,1456 ISIT Charge back central,CA_407_PL_CAD,Projects,GL_Legal_Adjustments,43,Reliable Suppliers Group,BRL,BRL,227555.87,212.75,0,945.04,0,2025/08/14,2025/10/28,2025/10/30
MUGXA FHX INC,IN,NET,Purchases,AP,Nexus Enterprise Holdings,6735000,PPC,14360B,7950,200,N70_DEPRECIATION_F,MAJ09_General_Overhead_V,MIN0521,1434 ISIT Method & Quality,CA_407_PL_CAD,Manual,GL_AutoPrepa,33,Strategic Components LLC,GBP,USD,207868.44,0.73,0,949.13,0,2024/06/14,2025/08/20,2025/09/20
CBZHS FUA INC,BSS,Group ES,External Resources,PA,Apex Innovations Ltd,9820201,CGR,14320G,7956,796,N11_MASA_F,MAJ20_Allocation_MASA_F,MIN1510,1434 ISIT Method & Quality,CA_407_PL_CAD,Receivables,GL_Legal_Adjustments,5,Global Resources Ltd,EUR,MXN,603052.17,523.91,0,896.3,0,2023/08/19,2025/04/03,2025/05/19
CKYLF OPF INC,MQ,AFFILIATE,Depreciation,AP,Apex Innovations Ltd,6417201,PP1,14520A,7950,0,N91_MASA_F,MAJ03_Temporary_Other_Labor_V,MIN0830,1452 ISIT Infra Management,MX_839_PL_USD,,GL_AutoPrepa_AutoReverse,22,Dynamic Solutions Group,EUR,USD,624399.78,250.53,0,154.06,0,2024/07/11,2025/10/30,2025/11/01
CMUDD RZU INC,DIR,EUX,Maintenance & Rental,PO,Apex Innovations Ltd,6233000,RIO,96501B,7950,511,N21_FE_V,MAJ21_Allocation_DORD,MIN0923,1444 ISIT Infra Service Line NET (Network),US_415_PL_USD,Recurring,Inventory,35,Standard Products Company,MXN,USD,485005.73,145.45,0,503.93,0,2025/08/06,2025/08/14,2025/10/18
TYVSM ZQU INC,BSS,Communications,Purchases,INV,Meridian Solutions Corp,6437000,CGR,14340A,7950,200,N30_ENERGY_V,MAJ07_Transportation_V,MIN0925,1432 ISIT Region Direction,MX_839_PL_MXN,Receivables,CIP Adjustment,48,Mega Solutions LLC,EUR,CAD,944892.2,708.55,0,922.7,0,2024/01/30,2025/02/07,2025/06/04
AHHFA AEA INC,IN,ACC,Travels,GL,Meridian Solutions Corp,6813000,GRU,14340A,7956,796,N99_DEPRECIATION_F,MAJ10_Advertising_F,MIN0918,1432 ISIT Region Direction,US_415_PL_USD,CLL F189 INTEGRATED RCV,GL_Financial,27,First Class Services Ltd,GBP,CAD,613797.6,807.2,0,776.55,0,2025/05/04,2025/05/23,2025/08/21
HEJPJ TMY INC,DIR,OPEN,Other expenses,PA,Nexus Enterprise Holdings,6230000,MAN,14320H,7956,723,N87_FE_F,MAJ15_Depreciation_F,MIN2005,1462 ISIT BSS Production Sytems (PS),,Payables,Retirement,26,Advanced Materials Group,BRL,USD,997060.17,768.03,0,763.89,0,2023/09/04,2023/12/22,2024/10/10
OWPAZ YVR INC,IN,NET,Travels,AP,Meridian Solutions Corp,6418206,DDD,98281C,7950,200,N99_DEPRECIATION_F,MAJ09_General_Overhead_V,MIN0955,1432 ISIT Region Direction,MX_839_PL_USD,Cost Management,Retirement,7,Mega Distribution Group,BRL,USD,246428.26,336.65,0,777.1,0,2025/03/17,2025/06/11,2025/08/10
HRUCH DYY INC,DIR,DIR,Internal,PA,Quantum Dynamics Group,6233000,MTC,14320J,7950,409,N93_ENERGY_V,MAJ05_Maintenance_V,MIN0918,1444 ISIT Infra Service Line NET (Network),,MassAllocation,Usage Cost,21,Leading Products Corp,EUR,CAD,702325.22,91.68,0,954.75,0,2025/07/30,2025/08/25,2025/10/18
FHYZJ CAE INC,IN,IN DIR,Training,AP,Nexus Enterprise Holdings,6745000,CGR,98158Z,7950,407,N94_ENERGY_F,MAJ06_Utilities_Energy_V,MIN0937,1434 ISIT Method & Quality,,Assets,Misc Receipts,9,Strategic Components LLC,GBP,CAD,761267.03,826.14,0,303.83,0,2024/04/27,2024/10/29,2025/09/28
BBHZN FJP INC,DIR,EC,Travels,GL,Quantum Dynamics Group,6470100,LAV,14560B,7950,415,N30_ENERGY_V,MAJ05_Maintenance_F,MIN2040,9828 Other operational expenses & revenue non allocated,BR_414_PL_BRL,CLL F189 INTEGRATED RCV,Depreciation,26,Mega Solutions LLC,EUR,USD,312255.16,848.75,0,576.83,0,2023/01/10,2023/08/24,2025/03/09
QXMYB RGJ INC,DIR,Group EC,Purchases,INV,Apex Innovations Ltd,6437100,RIO,96500N,7956,407,N22_FE_F,MAJ20_Cascade_ENERGY_F,MIN0420,1470 ISIT BSS IS Region managers (ISRM),CA_407_PL_CAD,Projects,Addition,28,First Class Manufacturing,EUR,MXN,734434.82,602.04,0,165.19,0,2024/02/29,2024/05/24,2024/11/05
WBZHW LZV INC,IN,OPEN,Internal,AP,TechnoGlobal Industries,6466202,RIO,14580A,7956,200,N11_MASA_F,MAJ11_Income,MIN0936,1458 ISIT BSS Entreprises Services (ES),BR_414_PL_BRL,Payables,Freight,44,Modern Solutions LLC,USD,MXN,221108.85,439.67,0,425.18,0,2025/10/29,2025/11/01,2025/11/01
FUVJQ CXB INC,MQ,SC,Depreciation,PO,Meridian Solutions Corp,6240200,PP1,14680C,7950,200,N91_MASA_F,MAJ05_Maintenance_F,MIN1620,1464 ISIT BSS Research & development (RD),,CLL F189 INTEGRATED RCV,GL_Financial_AutoReversal,46,Global Tech Solutions,EUR,MXN,894181.56,401.37,0,484.21,0,2024/10/19,2025/08/03,2025/09/23
RZNSN VAT INC,DIR,MASS ALLOC,Salaries,INV,Nexus Enterprise Holdings,6152000,LAV,14320G,7950,415,N93_ENERGY_V,MAJ05_Maintenance_F,MIN1110,1436 ISIT Infra Service Line EUX (End User Experience),US_415_PL_USD,MassAllocation,CIP Adjustment,26,Reliable Suppliers Group,BRL,BRL,731424.97,528.98,0,75.92,0,2024/10/20,2025/05/01,2025/07/09
BZHXM CJX INC,BSS,Group EC,Internal,GL,TechnoGlobal Industries,6313100,CGR,98281C,7956,589,N81_MASA_F,MAJ20_Cascade_ENERGY_F,MIN1620,1436 ISIT Infra Service Line EUX (End User Experience),,,Write-off,12,Global Tech Solutions,MXN,CAD,810332.77,458.51,0,779.29,0,2023/07/14,2024/08/29,2024/09/23
AHHFA AEA INC,MQ,AFFILIATE,Purchases,PA,Meridian Solutions Corp,6417708,GRU,14680B,7956,415,N21_FE_V,MAJ09_Travel_F,MIN1620,1462 ISIT BSS Production Sytems (PS),MX_839_PL_MXN,Spreadsheet,GL_Intercompany,39,Standard Industries Inc,USD,MXN,896436.72,235.57,0,347.86,0,2023/12/13,2024/11/21,2025/10/12
